trial_type,trial_index,time_elapsed,internal_node_id,subject,hitId,assignmentId,structure_condition,match_condition,noise_type,success,timeout,failed_images,failed_audio,failed_video,view_history,rt,start_time,end_time,stimuli,image1,image2,image3,image4,choiceLocation,choiceImage,choiceEmotion,choiceModel,choice_index,reward_score,reward,reward_score_unadjusted,reward_image,score_after_trial,emotions,models,rewards,rewards_unadjusted,stimulus,response,question_order,file_name,n
explore-choice,160,371713,0.0-160.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,3186.000000000058,369118,372304.00000000006,"[""stimuli/WF14_CC.jpg"",""stimuli/AF02_HE.jpg"",""stimuli/BM04_DO.jpg"",""stimuli/HM10_FO.jpg""]",stimuli/WF14_CC.jpg,stimuli/AF02_HE.jpg,stimuli/BM04_DO.jpg,stimuli/HM10_FO.jpg,pos4,stimuli/HM10_FO.jpg,FO,HM10,3,1,2,2,stimuli/stars_2.png,209.5,"[""CC"",""HE"",""DO"",""FO""]","[""WF14"",""AF02"",""BM04"",""HM10""]","[5,5,8,2]","[6,4,8,2]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
show-reward,161,373717,0.0-161.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,NA,372807,374809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,stimuli/stars_2.png,209.5,NA,NA,NA,NA,stimuli/HM10_FO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
explore-choice,162,376771,0.0-162.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,2552,374810,377362,"[""stimuli/HM10_DO.jpg"",""stimuli/WF14_HE.jpg"",""stimuli/BM04_FO.jpg"",""stimuli/AF02_CC.jpg""]",stimuli/HM10_DO.jpg,stimuli/WF14_HE.jpg,stimuli/BM04_FO.jpg,stimuli/AF02_CC.jpg,pos3,stimuli/BM04_FO.jpg,FO,BM04,2,1,2,2,stimuli/stars_2.png,210.5,"[""DO"",""HE"",""FO"",""CC""]","[""HM10"",""WF14"",""BM04"",""AF02""]","[8,2,2,6]","[8,4,2,6]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
show-reward,163,378775,0.0-163.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,NA,377866,379868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,stimuli/stars_2.png,210.5,NA,NA,NA,NA,stimuli/BM04_FO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
explore-choice,164,382606,0.0-164.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,3326,379871,383197,"[""stimuli/AF02_HE.jpg"",""stimuli/HM10_DO.jpg"",""stimuli/WF14_FO.jpg"",""stimuli/BM04_CC.jpg""]",stimuli/AF02_HE.jpg,stimuli/HM10_DO.jpg,stimuli/WF14_FO.jpg,stimuli/BM04_CC.jpg,pos3,stimuli/WF14_FO.jpg,FO,WF14,2,0.5,1,2,stimuli/stars_1.png,211,"[""HE"",""DO"",""FO"",""CC""]","[""AF02"",""HM10"",""WF14"",""BM04""]","[3,7,1,8]","[4,8,2,6]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
show-reward,165,384610,0.0-165.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,NA,383700,385702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,stimuli/stars_1.png,211,NA,NA,NA,NA,stimuli/WF14_FO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
explore-choice,166,387297,0.0-166.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,2185,385703.00000000006,387888.00000000006,"[""stimuli/WF14_CC.jpg"",""stimuli/BM04_HE.jpg"",""stimuli/AF02_FO.jpg"",""stimuli/HM10_DO.jpg""]",stimuli/WF14_CC.jpg,stimuli/BM04_HE.jpg,stimuli/AF02_FO.jpg,stimuli/HM10_DO.jpg,pos3,stimuli/AF02_FO.jpg,FO,AF02,2,0.5,1,2,stimuli/stars_1.png,211.5,"[""CC"",""HE"",""FO"",""DO""]","[""WF14"",""BM04"",""AF02"",""HM10""]","[8,3,1,6]","[6,4,2,8]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
show-reward,167,389302,0.0-167.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,NA,388392,390395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,stimuli/stars_1.png,211.5,NA,NA,NA,NA,stimuli/AF02_FO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
explore-choice,168,390718,0.0-168.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,913,390395,391308,"[""stimuli/AF02_FO.jpg"",""stimuli/WF14_HE.jpg"",""stimuli/BM04_CC.jpg"",""stimuli/HM10_DO.jpg""]",stimuli/AF02_FO.jpg,stimuli/WF14_HE.jpg,stimuli/BM04_CC.jpg,stimuli/HM10_DO.jpg,pos4,stimuli/HM10_DO.jpg,DO,HM10,3,4.5,9,8,stimuli/stars_9.png,216,"[""FO"",""HE"",""CC"",""DO""]","[""AF02"",""WF14"",""BM04"",""HM10""]","[4,4,7,9]","[2,4,6,8]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
show-reward,169,392720,0.0-169.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,NA,391811.00000000006,393812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,stimuli/stars_9.png,216,NA,NA,NA,NA,stimuli/HM10_DO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
