trial_type,trial_index,time_elapsed,internal_node_id,subject,hitId,assignmentId,structure_condition,match_condition,noise_type,success,timeout,failed_images,failed_audio,failed_video,view_history,rt,start_time,end_time,stimuli,image1,image2,image3,image4,choiceLocation,choiceImage,choiceEmotion,choiceModel,choice_index,reward_score,reward,reward_score_unadjusted,reward_image,score_after_trial,emotions,models,rewards,rewards_unadjusted,stimulus,response,question_order,file_name,n
pavlovia,0,9,0.0-0.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
preload,1,7643,0.0-1.0,p333790,emogo,test_session,model,match,uniform,TRUE,FALSE,[],[],[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
instructions,2,11275,0.0-2.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,"[{""page_index"":0,""viewing_time"":3631}]",3631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,3,13605,0.0-3.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,1828,12609,14437,"[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]",stimuli/sheep.jpg,stimuli/hammer.jpg,stimuli/basketball.jpg,stimuli/horse.jpg,pos4,stimuli/horse.jpg,NA,NA,3,64,64,64,stimuli/stars_8.png,65,NA,NA,NA,NA,NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,4,15466,0.0-4.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,1359,14939,16298,"[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]",stimuli/hammer.jpg,stimuli/basketball.jpg,stimuli/horse.jpg,stimuli/sheep.jpg,pos1,stimuli/hammer.jpg,NA,NA,0,8,8,8,stimuli/stars_2.png,9,NA,NA,NA,NA,NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
instructions,5,28132,0.0-5.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,"[{""page_index"":0,""viewing_time"":12666}]",12666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,6,31074,0.0-6.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,2441,29466,31907,"[""stimuli/AF10_HO.jpg"",""stimuli/HF09_SUR.jpg"",""stimuli/HM07_CC.jpg"",""stimuli/BF04_AO.jpg""]",stimuli/AF10_HO.jpg,stimuli/HF09_SUR.jpg,stimuli/HM07_CC.jpg,stimuli/BF04_AO.jpg,pos2,stimuli/HF09_SUR.jpg,SUR,HF09,1,3,6,6,stimuli/stars_6.png,4,"[""HO"",""SUR"",""CC"",""AO""]","[""AF10"",""HF09"",""HM07"",""BF04""]","[3,6,6,3]","[2,6,8,4]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,7,33080,0.0-7.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,32409,34413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,stimuli/stars_6.png,4,NA,NA,NA,NA,stimuli/HF09_SUR.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,8,35604,0.0-8.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,2021,34414,36435,"[""stimuli/BF04_AO.jpg"",""stimuli/AF10_HO.jpg"",""stimuli/HM07_SUR.jpg"",""stimuli/HF09_CC.jpg""]",stimuli/BF04_AO.jpg,stimuli/AF10_HO.jpg,stimuli/HM07_SUR.jpg,stimuli/HF09_CC.jpg,pos4,stimuli/HF09_CC.jpg,CC,HF09,3,2,4,6,stimuli/stars_4.png,6,"[""AO"",""HO"",""SUR"",""CC""]","[""BF04"",""AF10"",""HM07"",""HF09""]","[3,3,6,4]","[4,2,8,6]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,9,37607,0.0-9.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,36939,38941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,stimuli/stars_4.png,6,NA,NA,NA,NA,stimuli/HF09_CC.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,10,39303,0.0-10.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,1195,38941,40136,"[""stimuli/HM07_SUR.jpg"",""stimuli/BF04_AO.jpg"",""stimuli/HF09_HO.jpg"",""stimuli/AF10_CC.jpg""]",stimuli/HM07_SUR.jpg,stimuli/BF04_AO.jpg,stimuli/HF09_HO.jpg,stimuli/AF10_CC.jpg,pos3,stimuli/HF09_HO.jpg,HO,HF09,2,2.5,5,6,stimuli/stars_5.png,8.5,"[""SUR"",""AO"",""HO"",""CC""]","[""HM07"",""BF04"",""HF09"",""AF10""]","[9,6,5,0]","[8,4,6,2]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,11,41306,0.0-11.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,40637,42639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,stimuli/stars_5.png,8.5,NA,NA,NA,NA,stimuli/HF09_HO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,12,42552,0.0-12.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,743,42640,43383,"[""stimuli/HM07_CC.jpg"",""stimuli/BF04_SUR.jpg"",""stimuli/HF09_AO.jpg"",""stimuli/AF10_HO.jpg""]",stimuli/HM07_CC.jpg,stimuli/BF04_SUR.jpg,stimuli/HF09_AO.jpg,stimuli/AF10_HO.jpg,pos2,stimuli/BF04_SUR.jpg,SUR,BF04,1,1,2,4,stimuli/stars_2.png,9.5,"[""CC"",""SUR"",""AO"",""HO""]","[""HM07"",""BF04"",""HF09"",""AF10""]","[6,2,5,1]","[8,4,6,2]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,13,44554,0.0-13.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,43886,45888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,stimuli/stars_2.png,9.5,NA,NA,NA,NA,stimuli/BF04_SUR.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,14,45714,0.0-14.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,659,45888,46547,"[""stimuli/HM07_AO.jpg"",""stimuli/AF10_CC.jpg"",""stimuli/HF09_SUR.jpg"",""stimuli/BF04_HO.jpg""]",stimuli/HM07_AO.jpg,stimuli/AF10_CC.jpg,stimuli/HF09_SUR.jpg,stimuli/BF04_HO.jpg,pos2,stimuli/AF10_CC.jpg,CC,AF10,1,1.5,3,2,stimuli/stars_3.png,11,"[""AO"",""CC"",""SUR"",""HO""]","[""HM07"",""AF10"",""HF09"",""BF04""]","[9,3,7,5]","[8,2,6,4]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,15,47716,0.0-15.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,47048,49050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,stimuli/stars_3.png,11,NA,NA,NA,NA,stimuli/AF10_CC.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,16,48981,0.0-16.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,761,49051,49812,"[""stimuli/AF10_AO.jpg"",""stimuli/HF09_SUR.jpg"",""stimuli/BF04_CC.jpg"",""stimuli/HM07_HO.jpg""]",stimuli/AF10_AO.jpg,stimuli/HF09_SUR.jpg,stimuli/BF04_CC.jpg,stimuli/HM07_HO.jpg,pos1,stimuli/AF10_AO.jpg,AO,AF10,0,0,0,2,stimuli/stars_0.png,11,"[""AO"",""SUR"",""CC"",""HO""]","[""AF10"",""HF09"",""BF04"",""HM07""]","[0,6,5,9]","[2,6,4,8]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,17,50984,0.0-17.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,50315,52317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,stimuli/stars_0.png,11,NA,NA,NA,NA,stimuli/AF10_AO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,18,52349,0.0-18.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,862,52318,53180,"[""stimuli/BF04_AO.jpg"",""stimuli/HM07_CC.jpg"",""stimuli/HF09_HO.jpg"",""stimuli/AF10_SUR.jpg""]",stimuli/BF04_AO.jpg,stimuli/HM07_CC.jpg,stimuli/HF09_HO.jpg,stimuli/AF10_SUR.jpg,pos4,stimuli/AF10_SUR.jpg,SUR,AF10,3,2,4,2,stimuli/stars_4.png,13,"[""AO"",""CC"",""HO"",""SUR""]","[""BF04"",""HM07"",""HF09"",""AF10""]","[2,10,6,4]","[4,8,6,2]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,19,54351,0.0-19.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,53683,55684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,stimuli/stars_4.png,13,NA,NA,NA,NA,stimuli/AF10_SUR.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,20,56572,0.0-20.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,1718,55685,57403,"[""stimuli/HM07_AO.jpg"",""stimuli/AF10_HO.jpg"",""stimuli/HF09_CC.jpg"",""stimuli/BF04_SUR.jpg""]",stimuli/HM07_AO.jpg,stimuli/AF10_HO.jpg,stimuli/HF09_CC.jpg,stimuli/BF04_SUR.jpg,pos1,stimuli/HM07_AO.jpg,AO,HM07,0,5,10,8,stimuli/stars_10.png,18,"[""AO"",""HO"",""CC"",""SUR""]","[""HM07"",""AF10"",""HF09"",""BF04""]","[10,3,5,6]","[8,2,6,4]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,21,58575,0.0-21.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,57908,59910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,stimuli/stars_10.png,18,NA,NA,NA,NA,stimuli/HM07_AO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,22,59802,0.0-22.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,723,59910,60633,"[""stimuli/HM07_HO.jpg"",""stimuli/HF09_AO.jpg"",""stimuli/BF04_CC.jpg"",""stimuli/AF10_SUR.jpg""]",stimuli/HM07_HO.jpg,stimuli/HF09_AO.jpg,stimuli/BF04_CC.jpg,stimuli/AF10_SUR.jpg,pos1,stimuli/HM07_HO.jpg,HO,HM07,0,3,6,8,stimuli/stars_6.png,21,"[""HO"",""AO"",""CC"",""SUR""]","[""HM07"",""HF09"",""BF04"",""AF10""]","[6,6,4,1]","[8,6,4,2]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,23,61805,0.0-23.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,61136,63139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,stimuli/stars_6.png,21,NA,NA,NA,NA,stimuli/HM07_HO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,24,64293,0.0-24.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,1986,63139,65125,"[""stimuli/HM07_SUR.jpg"",""stimuli/HF09_HO.jpg"",""stimuli/AF10_AO.jpg"",""stimuli/BF04_CC.jpg""]",stimuli/HM07_SUR.jpg,stimuli/HF09_HO.jpg,stimuli/AF10_AO.jpg,stimuli/BF04_CC.jpg,pos1,stimuli/HM07_SUR.jpg,SUR,HM07,0,5,10,8,stimuli/stars_10.png,26,"[""SUR"",""HO"",""AO"",""CC""]","[""HM07"",""HF09"",""AF10"",""BF04""]","[10,6,1,4]","[8,6,2,4]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,25,66298,0.0-25.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,65627,67631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,stimuli/stars_10.png,26,NA,NA,NA,NA,stimuli/HM07_SUR.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,26,68594,0.0-26.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,1794,67632,69426,"[""stimuli/BF04_AO.jpg"",""stimuli/HM07_HO.jpg"",""stimuli/AF10_CC.jpg"",""stimuli/HF09_SUR.jpg""]",stimuli/BF04_AO.jpg,stimuli/HM07_HO.jpg,stimuli/AF10_CC.jpg,stimuli/HF09_SUR.jpg,pos4,stimuli/HF09_SUR.jpg,SUR,HF09,3,2.5,5,6,stimuli/stars_5.png,28.5,"[""AO"",""HO"",""CC"",""SUR""]","[""BF04"",""HM07"",""AF10"",""HF09""]","[5,8,4,5]","[4,8,2,6]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,27,70597,0.0-27.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,69929,71931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,stimuli/stars_5.png,28.5,NA,NA,NA,NA,stimuli/HF09_SUR.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,28,72787,0.0-28.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,1687,71931,73618,"[""stimuli/HM07_CC.jpg"",""stimuli/HF09_HO.jpg"",""stimuli/BF04_SUR.jpg"",""stimuli/AF10_AO.jpg""]",stimuli/HM07_CC.jpg,stimuli/HF09_HO.jpg,stimuli/BF04_SUR.jpg,stimuli/AF10_AO.jpg,pos4,stimuli/AF10_AO.jpg,AO,AF10,3,0.5,1,2,stimuli/stars_1.png,29,"[""CC"",""HO"",""SUR"",""AO""]","[""HM07"",""HF09"",""BF04"",""AF10""]","[9,5,4,1]","[8,6,4,2]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,29,74792,0.0-29.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,74122,76125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,stimuli/stars_1.png,29,NA,NA,NA,NA,stimuli/AF10_AO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,30,76592,0.0-30.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,1296,76126,77422,"[""stimuli/HF09_AO.jpg"",""stimuli/BF04_CC.jpg"",""stimuli/AF10_HO.jpg"",""stimuli/HM07_SUR.jpg""]",stimuli/HF09_AO.jpg,stimuli/BF04_CC.jpg,stimuli/AF10_HO.jpg,stimuli/HM07_SUR.jpg,pos4,stimuli/HM07_SUR.jpg,SUR,HM07,3,5,10,8,stimuli/stars_10.png,34,"[""AO"",""CC"",""HO"",""SUR""]","[""HF09"",""BF04"",""AF10"",""HM07""]","[6,5,2,10]","[6,4,2,8]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,31,78597,0.0-31.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,77926,79930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,stimuli/stars_10.png,34,NA,NA,NA,NA,stimuli/HM07_SUR.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,32,80146,0.0-32.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,1045,79932,80977,"[""stimuli/HF09_HO.jpg"",""stimuli/BF04_CC.jpg"",""stimuli/HM07_AO.jpg"",""stimuli/AF10_SUR.jpg""]",stimuli/HF09_HO.jpg,stimuli/BF04_CC.jpg,stimuli/HM07_AO.jpg,stimuli/AF10_SUR.jpg,pos3,stimuli/HM07_AO.jpg,AO,HM07,2,4,8,8,stimuli/stars_8.png,38,"[""HO"",""CC"",""AO"",""SUR""]","[""HF09"",""BF04"",""HM07"",""AF10""]","[7,3,8,2]","[6,4,8,2]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,33,82149,0.0-33.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,81481,83483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,stimuli/stars_8.png,38,NA,NA,NA,NA,stimuli/HM07_AO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,34,83642,0.0-34.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,991,83484,84475,"[""stimuli/BF04_HO.jpg"",""stimuli/HF09_CC.jpg"",""stimuli/AF10_SUR.jpg"",""stimuli/HM07_AO.jpg""]",stimuli/BF04_HO.jpg,stimuli/HF09_CC.jpg,stimuli/AF10_SUR.jpg,stimuli/HM07_AO.jpg,pos4,stimuli/HM07_AO.jpg,AO,HM07,3,3,6,8,stimuli/stars_6.png,41,"[""HO"",""CC"",""SUR"",""AO""]","[""BF04"",""HF09"",""AF10"",""HM07""]","[6,6,1,6]","[4,6,2,8]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,35,85647,0.0-35.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,84977,86981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,stimuli/stars_6.png,41,NA,NA,NA,NA,stimuli/HM07_AO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,36,87280,0.0-36.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,1130,86982,88112,"[""stimuli/HF09_CC.jpg"",""stimuli/AF10_SUR.jpg"",""stimuli/HM07_HO.jpg"",""stimuli/BF04_AO.jpg""]",stimuli/HF09_CC.jpg,stimuli/AF10_SUR.jpg,stimuli/HM07_HO.jpg,stimuli/BF04_AO.jpg,pos3,stimuli/HM07_HO.jpg,HO,HM07,2,4,8,8,stimuli/stars_8.png,45,"[""CC"",""SUR"",""HO"",""AO""]","[""HF09"",""AF10"",""HM07"",""BF04""]","[6,1,8,6]","[6,2,8,4]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,37,89287,0.0-37.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,88614,90620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,stimuli/stars_8.png,45,NA,NA,NA,NA,stimuli/HM07_HO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,38,91067,0.0-38.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,1279,90621,91900,"[""stimuli/AF10_AO.jpg"",""stimuli/HM07_SUR.jpg"",""stimuli/HF09_CC.jpg"",""stimuli/BF04_HO.jpg""]",stimuli/AF10_AO.jpg,stimuli/HM07_SUR.jpg,stimuli/HF09_CC.jpg,stimuli/BF04_HO.jpg,pos3,stimuli/HF09_CC.jpg,CC,HF09,2,3.5,7,6,stimuli/stars_7.png,48.5,"[""AO"",""SUR"",""CC"",""HO""]","[""AF10"",""HM07"",""HF09"",""BF04""]","[2,7,7,5]","[2,8,6,4]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,39,93069,0.0-39.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,92402,94403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,stimuli/stars_7.png,48.5,NA,NA,NA,NA,stimuli/HF09_CC.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,40,94789,0.0-40.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,1218,94403,95621,"[""stimuli/HM07_AO.jpg"",""stimuli/HF09_SUR.jpg"",""stimuli/BF04_CC.jpg"",""stimuli/AF10_HO.jpg""]",stimuli/HM07_AO.jpg,stimuli/HF09_SUR.jpg,stimuli/BF04_CC.jpg,stimuli/AF10_HO.jpg,pos1,stimuli/HM07_AO.jpg,AO,HM07,0,4,8,8,stimuli/stars_8.png,52.5,"[""AO"",""SUR"",""CC"",""HO""]","[""HM07"",""HF09"",""BF04"",""AF10""]","[8,4,3,3]","[8,6,4,2]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
show-reward,41,96792,0.0-41.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,NA,96124,98125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,stimuli/stars_8.png,52.5,NA,NA,NA,NA,stimuli/HM07_AO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
explore-choice,42,98333,0.0-42.0,p333790,emogo,test_session,model,match,uniform,NA,NA,NA,NA,NA,NA,1037,98126,99163,"[""stimuli/HM07_HO.jpg"",""stimuli/BF04_SUR.jpg"",""stimuli/HF09_AO.jpg"",""stimuli/AF10_CC.jpg""]",stimuli/HM07_HO.jpg,stimuli/BF04_SUR.jpg,stimuli/HF09_AO.jpg,stimuli/AF10_CC.jpg,pos2,stimuli/BF04_SUR.jpg,SUR,BF04,1,2,4,4,stimuli/stars_4.png,54.5,"[""HO"",""SUR"",""AO"",""CC""]","[""HM07"",""BF04"",""HF09"",""AF10""]","[7,4,6,2]","[8,4,6,2]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_12h09.43.369.csv,206
