image,number_responses,avg_words_per_response,percent_unique_responses,percent_unique_words,percent_unique_lemmas,simpson_diversity,modal_agreement,modal_names,modal_response_agreement,modal_response
AF02_AO,102,1.0196078431372548,0.18627450980392157,0.17307692307692307,0.17307692307692307,0.38237490664675133,0.6078431372549019,anger,0.5980392156862745,anger
AF02_CC,104,1.0673076923076923,0.4423076923076923,0.4144144144144144,0.40540540540540543,0.05405405405405406,0.15384615384615385,happy,0.1346153846153846,happy
AF02_DO,150,1.04,0.23333333333333334,0.20512820512820512,0.1858974358974359,0.25244003308519436,0.49333333333333335,disgust,0.4,disgust
AF02_FO,49,1.0408163265306123,0.22448979591836735,0.2549019607843137,0.23529411764705882,0.32862745098039214,0.5510204081632653,fear,0.5510204081632653,fear
AF02_HE,173,1.0289017341040463,0.1329479768786127,0.12921348314606743,0.12921348314606743,0.30756046467339554,0.49710982658959535,happy,0.4797687861271676,happy
AF02_HO,49,1.0408163265306123,0.1836734693877551,0.19607843137254902,0.19607843137254902,0.29333333333333333,0.4489795918367347,happy,0.42857142857142855,happy
AF02_SC,99,1.0303030303030303,0.1414141414141414,0.1568627450980392,0.1568627450980392,0.3944865074742768,0.5757575757575758,sad,0.5656565656565656,sad
AF02_SUR,74,1.0810810810810811,0.22972972972972974,0.1875,0.1625,0.2772151898734177,0.47297297297297297,surprise,0.43243243243243246,surprise
AF09_AO,52,1.0192307692307692,0.2692307692307692,0.2830188679245283,0.24528301886792453,0.20101596516690856,0.38461538461538464,disgust,0.3269230769230769,disgust
AF09_CC,121,1.0909090909090908,0.4214876033057851,0.42424242424242425,0.4166666666666667,0.06361323155216285,0.23140495867768596,neutral,0.2231404958677686,neutral
AF09_DO,52,1.0,0.36538461538461536,0.36538461538461536,0.34615384615384615,0.3129713423831071,0.5576923076923077,disgust,0.5,disgust
AF09_FO,126,1.0158730158730158,0.23015873015873015,0.2265625,0.2109375,0.2402805118110236,0.46825396825396826,fear,0.46825396825396826,fear
AF09_HE,47,1.0638297872340425,0.19148936170212766,0.2,0.2,0.24653061224489795,0.3829787234042553,happiness,0.3829787234042553,happiness
AF09_HO,97,1.0515463917525774,0.2268041237113402,0.22549019607843138,0.22549019607843138,0.21956901572510193,0.3711340206185567,happy,0.35051546391752575,happy
AF09_SC,99,1.0404040404040404,0.1919191919191919,0.20388349514563106,0.1941747572815534,0.307824100513992,0.47474747474747475,sad,0.46464646464646464,sad
AF09_SUR,98,1.030612244897959,0.20408163265306123,0.1782178217821782,0.16831683168316833,0.24138613861386138,0.40816326530612246,shock,0.29591836734693877,shock
AF10_AO,122,1.0327868852459017,0.1557377049180328,0.16666666666666666,0.15873015873015872,0.376,0.6065573770491803,anger,0.6065573770491803,anger
AF10_CC,69,1.1014492753623188,0.36231884057971014,0.3815789473684211,0.3815789473684211,0.09859649122807018,0.2608695652173913,neutral,0.2318840579710145,neutral
AF10_DO,47,1.0638297872340425,0.19148936170212766,0.2,0.18,0.4669387755102041,0.723404255319149,disgust,0.6170212765957447,disgust
AF10_FO,104,1.0096153846153846,0.16346153846153846,0.1523809523809524,0.14285714285714285,0.23443223443223443,0.3557692307692308,surprise,0.34615384615384615,surprise
AF10_HE,99,1.0404040404040404,0.12121212121212122,0.11650485436893204,0.11650485436893204,0.35237007424328953,0.5353535353535354,happy,0.5151515151515151,happy
AF10_HO,98,1.0510204081632653,0.1326530612244898,0.1553398058252427,0.14563106796116504,0.32210165619645914,0.5,happy,0.4897959183673469,happy
AF10_SC,91,1.043956043956044,0.23076923076923078,0.25263157894736843,0.24210526315789474,0.2400895856662934,0.37362637362637363,sad,0.37362637362637363,sad
AF10_SUR,50,1.04,0.32,0.3076923076923077,0.2692307692307692,0.2579185520361991,0.48,surprise,0.46,surprise
AF11_AO,25,1.0,0.16,0.16,0.16,0.41,0.6,anger,0.6,anger
AF11_CC,22,1.0454545454545454,0.7727272727272727,0.7391304347826086,0.7391304347826086,0.039525691699604744,0.18181818181818182,calm,0.13636363636363635,"neutral,calm"
AF11_DO,50,1.06,0.24,0.2641509433962264,0.24528301886792453,0.5130624092888244,0.76,disgust,0.66,disgust
AF11_FO,72,1.0555555555555556,0.2777777777777778,0.27631578947368424,0.2631578947368421,0.16140350877192983,0.3611111111111111,shock,0.25,shock
AF11_HO,47,1.0212765957446808,0.23404255319148937,0.22916666666666666,0.22916666666666666,0.299645390070922,0.5106382978723404,happy,0.48936170212765956,happy
AF11_SC,50,1.0,0.22,0.22,0.22,0.2963265306122449,0.4,sadness,0.4,sadness
AF11_SUR,22,1.0909090909090908,0.4090909090909091,0.3333333333333333,0.2916666666666667,0.25,0.45454545454545453,surprise,0.36363636363636365,surprise
AM03_AO,151,1.033112582781457,0.1390728476821192,0.1282051282051282,0.12179487179487179,0.40297766749379654,0.609271523178808,anger,0.5960264900662252,anger
AM03_CC,50,1.06,0.56,0.5283018867924528,0.5283018867924528,0.04934687953555878,0.2,neutral,0.18,neutral
AM03_DO,124,1.096774193548387,0.25,0.2426470588235294,0.22058823529411764,0.16917211328976034,0.31451612903225806,disgust,0.2903225806451613,fear
AM03_FO,127,1.062992125984252,0.2283464566929134,0.2222222222222222,0.21481481481481482,0.272636815920398,0.5275590551181102,fear,0.5118110236220472,fear
AM03_HE,133,1.0225563909774436,0.09022556390977443,0.08088235294117647,0.07352941176470588,0.40555555555555556,0.6015037593984962,happy,0.5864661654135338,happy
AM03_HO,155,1.0129032258064516,0.1032258064516129,0.09554140127388536,0.08917197452229299,0.3958843704066634,0.5806451612903226,happy,0.567741935483871,happy
AM03_SC,54,1.0925925925925926,0.3333333333333333,0.3389830508474576,0.3389830508474576,0.16540035067212155,0.4074074074074074,sad,0.37037037037037035,sad
AM03_SUR,122,1.0327868852459017,0.1557377049180328,0.15079365079365079,0.14285714285714285,0.20076190476190475,0.3114754098360656,surprise,0.30327868852459017,surprise
AM05_AO,105,1.0285714285714285,0.3047619047619048,0.28703703703703703,0.28703703703703703,0.26929733471789546,0.5142857142857142,anger,0.4857142857142857,anger
AM05_CC,77,1.0389610389610389,0.44155844155844154,0.4125,0.4125,0.09335443037974683,0.2727272727272727,neutral,0.2597402597402597,neutral
AM05_DO,52,1.0576923076923077,0.2692307692307692,0.2545454545454545,0.23636363636363636,0.5804713804713805,0.8076923076923077,disgust,0.7115384615384616,disgust
AM05_FO,79,1.0379746835443038,0.25316455696202533,0.23170731707317074,0.2073170731707317,0.2999096657633243,0.5316455696202531,fear,0.5063291139240507,fear
AM05_HE,133,1.0977443609022557,0.2631578947368421,0.2191780821917808,0.2191780821917808,0.1624940954180444,0.3609022556390977,happy,0.3082706766917293,happy
AM05_HO,55,1.0,0.16363636363636364,0.16363636363636364,0.16363636363636364,0.36498316498316496,0.4909090909090909,happy,0.4909090909090909,happy
AM05_SC,77,1.025974025974026,0.2727272727272727,0.27848101265822783,0.27848101265822783,0.17721518987341772,0.3246753246753247,sadness,0.3246753246753247,sadness
AM05_SUR,50,1.02,0.32,0.3137254901960784,0.27450980392156865,0.23058823529411765,0.46,surprise,0.44,surprise
AM06_AO,50,1.0,0.3,0.3,0.3,0.3036734693877551,0.54,anger,0.54,anger
AM06_CC,74,1.0810810810810811,0.5,0.4875,0.4875,0.06329113924050633,0.21621621621621623,neutral,0.20270270270270271,neutral
AM06_DO,24,1.0,0.20833333333333334,0.20833333333333334,0.16666666666666666,0.7608695652173914,0.875,disgust,0.75,disgust
AM06_FO,74,1.0135135135135136,0.24324324324324326,0.22666666666666666,0.21333333333333335,0.18234234234234234,0.2972972972972973,surprise,0.2972972972972973,surprise
AM06_HE,74,1.0135135135135136,0.21621621621621623,0.2,0.2,0.27315315315315314,0.4189189189189189,happy,0.40540540540540543,happy
AM06_HO,73,1.0,0.1917808219178082,0.1917808219178082,0.1780821917808219,0.3207762557077626,0.4657534246575342,happy,0.4657534246575342,happy
AM06_SC,23,1.0,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.16996047430830039,0.391304347826087,sadness,0.391304347826087,sadness
AM06_SUR,100,1.01,0.19,0.1782178217821782,0.15841584158415842,0.25782178217821783,0.41,surprise,0.41,surprise
AM09_AO,99,1.0404040404040404,0.31313131313131315,0.32038834951456313,0.32038834951456313,0.11231677136874167,0.2727272727272727,anger,0.2727272727272727,anger
AM09_CC,155,1.0516129032258064,0.36129032258064514,0.3558282208588957,0.3558282208588957,0.08445050367340756,0.25806451612903225,neutral,0.23870967741935484,neutral
AM09_DO,127,1.0236220472440944,0.2440944881889764,0.2230769230769231,0.2076923076923077,0.4400715563506261,0.6771653543307087,disgust,0.5905511811023622,disgust
AM09_FO,128,1.0234375,0.2421875,0.22900763358778625,0.21374045801526717,0.15278919553728715,0.3203125,fear,0.3203125,fear
AM09_HE,172,1.0406976744186047,0.1686046511627907,0.1452513966480447,0.13966480446927373,0.280082857322202,0.5,happy,0.47093023255813954,happy
AM09_HO,126,1.0238095238095237,0.1349206349206349,0.13178294573643412,0.12403100775193798,0.32703488372093026,0.5238095238095238,happy,0.5079365079365079,happy
