"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","6","0.0-0.0","p439909","A11F3MA5FWH6SJ","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","31T4R4OBOUMRAO3NO5SSQD9DTD27CR","model","match","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","4907","0.0-1.0","p439909","A11F3MA5FWH6SJ","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","31T4R4OBOUMRAO3NO5SSQD9DTD27CR","model","match","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","581708","0.0-2.0","p439909","A11F3MA5FWH6SJ","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","31T4R4OBOUMRAO3NO5SSQD9DTD27CR","model","match","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","582807","0.0-3.0","p439909","A11F3MA5FWH6SJ","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","31T4R4OBOUMRAO3NO5SSQD9DTD27CR","model","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":1098.3999999910593}]","1098.5","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","585516","0.0-4.0","p439909","A11F3MA5FWH6SJ","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","31T4R4OBOUMRAO3NO5SSQD9DTD27CR","model","match","uniform","","","","","","","2207.3999999910593","584081.6000000089","586289","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","586796","0.0-5.0","p439909","A11F3MA5FWH6SJ","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","31T4R4OBOUMRAO3NO5SSQD9DTD27CR","model","match","uniform","","","","","","","778.7999999970198","586790.1000000089","587568.900000006","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","596847","0.0-6.0","p439909","A11F3MA5FWH6SJ","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","31T4R4OBOUMRAO3NO5SSQD9DTD27CR","model","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":10050.79999999702}]","10050.90000000596","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","598775","0.0-7.0","p439909","A11F3MA5FWH6SJ","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","31T4R4OBOUMRAO3NO5SSQD9DTD27CR","model","match","uniform","","","","","","","1415.5","598121.400000006","599536.900000006","[""stimuli/HF09_DO.jpg"",""stimuli/HM07_HE.jpg"",""stimuli/AM03_CC.jpg"",""stimuli/BM07_HO.jpg""]","stimuli/HF09_DO.jpg","stimuli/HM07_HE.jpg","stimuli/AM03_CC.jpg","stimuli/BM07_HO.jpg","pos1","stimuli/HF09_DO.jpg","DO","HF09","0","1","2","2","stimuli/stars_2.png","2","[""DO"",""HE"",""CC"",""HO""]","[""HF09"",""HM07"",""AM03"",""BM07""]","[2,2,10,6]","[2,4,8,6]","","",""
"show-reward","8","600778","0.0-8.0","p439909","A11F3MA5FWH6SJ","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","31T4R4OBOUMRAO3NO5SSQD9DTD27CR","model","match","uniform","","","","","","","","600049.6000000089","602051.700000003","","","","","","","","","","","","2","","stimuli/stars_2.png","2","","","","","stimuli/HF09_DO.jpg","",""
"explore-choice","9","603470","0.0-9.0","p439909","A11F3MA5FWH6SJ","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","31T4R4OBOUMRAO3NO5SSQD9DTD27CR","model","match","uniform","","","","","","","2180.6000000089407","602052.200000003","604232.8000000119","[""stimuli/AM03_DO.jpg"",""stimuli/BM07_CC.jpg"",""stimuli/HF09_HO.jpg"",""stimuli/HM07_HE.jpg""]","stimuli/AM03_DO.jpg","stimuli/BM07_CC.jpg","stimuli/HF09_HO.jpg","stimuli/HM07_HE.jpg","pos1","stimuli/AM03_DO.jpg","DO","AM03","0","4.5","9","8","stimuli/stars_9.png","6.5","[""DO"",""CC"",""HO"",""HE""]","[""AM03"",""BM07"",""HF09"",""HM07""]","[9,4,3,2]","[8,6,2,4]","","",""
"show-reward","10","605473","0.0-10.0","p439909","A11F3MA5FWH6SJ","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","31T4R4OBOUMRAO3NO5SSQD9DTD27CR","model","match","uniform","","","","","","","","604744.200000003","606746.700000003","","","","","","","","","","","","9","","stimuli/stars_9.png","6.5","","","","","stimuli/AM03_DO.jpg","",""
"explore-choice","11","607260","0.0-11.0","p439909","A11F3MA5FWH6SJ","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","31T4R4OBOUMRAO3NO5SSQD9DTD27CR","model","match","uniform","","","","","","","1285.7999999970198","606747.200000003","608033","[""stimuli/BM07_HE.jpg"",""stimuli/HM07_CC.jpg"",""stimuli/HF09_HO.jpg"",""stimuli/AM03_DO.jpg""]","stimuli/BM07_HE.jpg","stimuli/HM07_CC.jpg","stimuli/HF09_HO.jpg","stimuli/AM03_DO.jpg","pos4","stimuli/AM03_DO.jpg","DO","AM03","3","4","8","8","stimuli/stars_8.png","10.5","[""HE"",""CC"",""HO"",""DO""]","[""BM07"",""HM07"",""HF09"",""AM03""]","[8,4,4,8]","[6,4,2,8]","","",""
"show-reward","12","609262","0.0-12.0","p439909","A11F3MA5FWH6SJ","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","31T4R4OBOUMRAO3NO5SSQD9DTD27CR","model","match","uniform","","","","","","","","608533.8000000119","610535.8000000119","","","","","","","","","","","","8","","stimuli/stars_8.png","10.5","","","","","stimuli/AM03_DO.jpg","",""
