"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","33","0.0-0.0","p888260","AROOCBM042SJD","3UUIU9GZC6BQMHTLWW3KSJ0W7IE5TB","3AWETUDC94Y171VTZAGXS007GBYZIC","model","mismatch","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","5474","0.0-1.0","p888260","AROOCBM042SJD","3UUIU9GZC6BQMHTLWW3KSJ0W7IE5TB","3AWETUDC94Y171VTZAGXS007GBYZIC","model","mismatch","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","9100","0.0-2.0","p888260","AROOCBM042SJD","3UUIU9GZC6BQMHTLWW3KSJ0W7IE5TB","3AWETUDC94Y171VTZAGXS007GBYZIC","model","mismatch","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","12794","0.0-3.0","p888260","AROOCBM042SJD","3UUIU9GZC6BQMHTLWW3KSJ0W7IE5TB","3AWETUDC94Y171VTZAGXS007GBYZIC","model","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":3688.7000000178814}]","3690","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","15333","0.0-4.0","p888260","AROOCBM042SJD","3UUIU9GZC6BQMHTLWW3KSJ0W7IE5TB","3AWETUDC94Y171VTZAGXS007GBYZIC","model","mismatch","uniform","","","","","","","2020.300000011921","15094.5","17114.80000001192","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","17135","0.0-5.0","p888260","AROOCBM042SJD","3UUIU9GZC6BQMHTLWW3KSJ0W7IE5TB","3AWETUDC94Y171VTZAGXS007GBYZIC","model","mismatch","uniform","","","","","","","1294","17635.90000000596","18929.90000000596","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","27543","0.0-6.0","p888260","AROOCBM042SJD","3UUIU9GZC6BQMHTLWW3KSJ0W7IE5TB","3AWETUDC94Y171VTZAGXS007GBYZIC","model","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":10406.59999999404}]","10407.199999988079","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","29749","0.0-7.0","p888260","AROOCBM042SJD","3UUIU9GZC6BQMHTLWW3KSJ0W7IE5TB","3AWETUDC94Y171VTZAGXS007GBYZIC","model","mismatch","uniform","","","","","","","1701","29844.80000001192","31545.80000001192","[""stimuli/AF09_AO.jpg"",""stimuli/BF06_SUR.jpg"",""stimuli/WF04_HE.jpg"",""stimuli/WM09_CC.jpg""]","stimuli/AF09_AO.jpg","stimuli/BF06_SUR.jpg","stimuli/WF04_HE.jpg","stimuli/WM09_CC.jpg","pos2","stimuli/BF06_SUR.jpg","SUR","BF06","1","0","0","2","stimuli/stars_0.png","1","[""AO"",""SUR"",""HE"",""CC""]","[""AF09"",""BF06"",""WF04"",""WM09""]","[3,0,4,9]","[4,2,6,8]","","",""
"show-reward","8","31784","0.0-8.0","p888260","AROOCBM042SJD","3UUIU9GZC6BQMHTLWW3KSJ0W7IE5TB","3AWETUDC94Y171VTZAGXS007GBYZIC","model","mismatch","uniform","","","","","","","","32054.59999999404","34082.40000000596","","","","","","","","","","","","0","","stimuli/stars_0.png","1","","","","","stimuli/BF06_SUR.jpg","",""
"explore-choice","9","34158","0.0-9.0","p888260","AROOCBM042SJD","3UUIU9GZC6BQMHTLWW3KSJ0W7IE5TB","3AWETUDC94Y171VTZAGXS007GBYZIC","model","mismatch","uniform","","","","","","","1867.2999999821186","34086.70000001788","35954","[""stimuli/BF06_HE.jpg"",""stimuli/WF04_SUR.jpg"",""stimuli/AF09_CC.jpg"",""stimuli/WM09_AO.jpg""]","stimuli/BF06_HE.jpg","stimuli/WF04_SUR.jpg","stimuli/AF09_CC.jpg","stimuli/WM09_AO.jpg","pos1","stimuli/BF06_HE.jpg","HE","BF06","0","2","4","2","stimuli/stars_4.png","3","[""HE"",""SUR"",""CC"",""AO""]","[""BF06"",""WF04"",""AF09"",""WM09""]","[4,4,4,8]","[2,6,4,8]","","",""
