"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","9","0.0-0.0","p461825","AM65LGXJBTJ0I","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3WS1NTTKE0IKVPNDU8XKJ4KTICO0FV","emotion","match","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","21497","0.0-1.0","p461825","AM65LGXJBTJ0I","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3WS1NTTKE0IKVPNDU8XKJ4KTICO0FV","emotion","match","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","27635","0.0-2.0","p461825","AM65LGXJBTJ0I","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3WS1NTTKE0IKVPNDU8XKJ4KTICO0FV","emotion","match","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","33174","0.0-3.0","p461825","AM65LGXJBTJ0I","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3WS1NTTKE0IKVPNDU8XKJ4KTICO0FV","emotion","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":5538.599999904633}]","5539.099999904633","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","35895","0.0-4.0","p461825","AM65LGXJBTJ0I","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3WS1NTTKE0IKVPNDU8XKJ4KTICO0FV","emotion","match","uniform","","","","","","","2212.100000023842","35034.10000002384","37246.200000047684","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","37606","0.0-5.0","p461825","AM65LGXJBTJ0I","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3WS1NTTKE0IKVPNDU8XKJ4KTICO0FV","emotion","match","uniform","","","","","","","1202.8999999761581","37755.300000071526","38958.200000047684","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","58623","0.0-6.0","p461825","AM65LGXJBTJ0I","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3WS1NTTKE0IKVPNDU8XKJ4KTICO0FV","emotion","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":21015.899999976158}]","21016","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","61631","0.0-7.0","p461825","AM65LGXJBTJ0I","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3WS1NTTKE0IKVPNDU8XKJ4KTICO0FV","emotion","match","uniform","","","","","","","2492.0999999046326","60482.90000009537","62975","[""stimuli/WM11_DO.jpg"",""stimuli/HF09_HO.jpg"",""stimuli/BF06_AO.jpg"",""stimuli/WM13_HE.jpg""]","stimuli/WM11_DO.jpg","stimuli/HF09_HO.jpg","stimuli/BF06_AO.jpg","stimuli/WM13_HE.jpg","pos3","stimuli/BF06_AO.jpg","AO","BF06","2","3.5","7","8","stimuli/stars_7.png","4.5","[""DO"",""HO"",""AO"",""HE""]","[""WM11"",""HF09"",""BF06"",""WM13""]","[6,5,7,0]","[6,4,8,2]","","",""
"show-reward","8","63646","0.0-8.0","p461825","AM65LGXJBTJ0I","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3WS1NTTKE0IKVPNDU8XKJ4KTICO0FV","emotion","match","uniform","","","","","","","","63491.10000002384","65502.60000002384","","","","","","","","","","","","7","","stimuli/stars_7.png","4.5","","","","","stimuli/BF06_AO.jpg","",""
"explore-choice","9","65652","0.0-9.0","p461825","AM65LGXJBTJ0I","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3WS1NTTKE0IKVPNDU8XKJ4KTICO0FV","emotion","match","uniform","","","","","","","1493.4000000953674","65513.5","67006.90000009537","[""stimuli/WM11_HE.jpg"",""stimuli/BF06_DO.jpg"",""stimuli/WM13_HO.jpg"",""stimuli/HF09_AO.jpg""]","stimuli/WM11_HE.jpg","stimuli/BF06_DO.jpg","stimuli/WM13_HO.jpg","stimuli/HF09_AO.jpg","pos1","stimuli/WM11_HE.jpg","HE","WM11","0","1.5","3","2","stimuli/stars_3.png","6","[""HE"",""DO"",""HO"",""AO""]","[""WM11"",""BF06"",""WM13"",""HF09""]","[3,6,4,10]","[2,6,4,8]","","",""
