"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","23","0.0-0.0","p476979","ANFWGSQ8BQRZ","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","3Y4W8Q93L1Q3Q6AX6ZQJGX7Y0VKVD6","model","match","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","17158","0.0-1.0","p476979","ANFWGSQ8BQRZ","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","3Y4W8Q93L1Q3Q6AX6ZQJGX7Y0VKVD6","model","match","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","21180","0.0-2.0","p476979","ANFWGSQ8BQRZ","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","3Y4W8Q93L1Q3Q6AX6ZQJGX7Y0VKVD6","model","match","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","28183","0.0-3.0","p476979","ANFWGSQ8BQRZ","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","3Y4W8Q93L1Q3Q6AX6ZQJGX7Y0VKVD6","model","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":7000}]","7001","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","31939","0.0-4.0","p476979","ANFWGSQ8BQRZ","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","3Y4W8Q93L1Q3Q6AX6ZQJGX7Y0VKVD6","model","match","uniform","","","","","","","3242.7000000476837","31140.199999809265","34382.89999985695","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","33727","0.0-5.0","p476979","ANFWGSQ8BQRZ","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","3Y4W8Q93L1Q3Q6AX6ZQJGX7Y0VKVD6","model","match","uniform","","","","","","","1276.7999999523163","34897","36173.799999952316","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","60642","0.0-6.0","p476979","ANFWGSQ8BQRZ","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","3Y4W8Q93L1Q3Q6AX6ZQJGX7Y0VKVD6","model","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":26913.900000095367}]","26914.300000190735","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","67687","0.0-7.0","p476979","ANFWGSQ8BQRZ","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","3Y4W8Q93L1Q3Q6AX6ZQJGX7Y0VKVD6","model","match","uniform","","","","","","","6533.799999952316","63600.299999952316","70134.09999990463","[""stimuli/HF10_FO.jpg"",""stimuli/AF09_HE.jpg"",""stimuli/WM09_HO.jpg"",""stimuli/BM16_SUR.jpg""]","stimuli/HF10_FO.jpg","stimuli/AF09_HE.jpg","stimuli/WM09_HO.jpg","stimuli/BM16_SUR.jpg","pos3","stimuli/WM09_HO.jpg","HO","WM09","2","2","4","2","stimuli/stars_4.png","3","[""FO"",""HE"",""HO"",""SUR""]","[""HF10"",""AF09"",""WM09"",""BM16""]","[6,8,4,7]","[4,8,2,6]","","",""
"show-reward","8","69708","0.0-8.0","p476979","ANFWGSQ8BQRZ","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","3Y4W8Q93L1Q3Q6AX6ZQJGX7Y0VKVD6","model","match","uniform","","","","","","","","70647.89999985695","72663.09999990463","","","","","","","","","","","","4","","stimuli/stars_4.png","3","","","","","stimuli/WM09_HO.jpg","",""
"explore-choice","9","74865","0.0-9.0","p476979","ANFWGSQ8BQRZ","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","3Y4W8Q93L1Q3Q6AX6ZQJGX7Y0VKVD6","model","match","uniform","","","","","","","4643.800000190735","72666.19999980927","77310","[""stimuli/BM16_HE.jpg"",""stimuli/HF10_HO.jpg"",""stimuli/WM09_SUR.jpg"",""stimuli/AF09_FO.jpg""]","stimuli/BM16_HE.jpg","stimuli/HF10_HO.jpg","stimuli/WM09_SUR.jpg","stimuli/AF09_FO.jpg","pos4","stimuli/AF09_FO.jpg","FO","AF09","3","3","6","8","stimuli/stars_6.png","6","[""HE"",""HO"",""SUR"",""FO""]","[""BM16"",""HF10"",""WM09"",""AF09""]","[6,2,4,6]","[6,4,2,8]","","",""
