"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","10","0.0-0.0","p475508","A1TMZLYXQAK8Q0","336OE47KI3QZCSCUXSQ8J11UOZXVWV","33M4IA01QI7PV5YXOFML97LNV7JXRH","model","mismatch","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","4785","0.0-1.0","p475508","A1TMZLYXQAK8Q0","336OE47KI3QZCSCUXSQ8J11UOZXVWV","33M4IA01QI7PV5YXOFML97LNV7JXRH","model","mismatch","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","8879","0.0-2.0","p475508","A1TMZLYXQAK8Q0","336OE47KI3QZCSCUXSQ8J11UOZXVWV","33M4IA01QI7PV5YXOFML97LNV7JXRH","model","mismatch","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","16669","0.0-3.0","p475508","A1TMZLYXQAK8Q0","336OE47KI3QZCSCUXSQ8J11UOZXVWV","33M4IA01QI7PV5YXOFML97LNV7JXRH","model","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":7787}]","7788.799999952316","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","19977","0.0-4.0","p475508","A1TMZLYXQAK8Q0","336OE47KI3QZCSCUXSQ8J11UOZXVWV","33M4IA01QI7PV5YXOFML97LNV7JXRH","model","mismatch","uniform","","","","","","","2803.2000000476837","18719.200000047684","21522.400000095367","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","22544","0.0-5.0","p475508","A1TMZLYXQAK8Q0","336OE47KI3QZCSCUXSQ8J11UOZXVWV","33M4IA01QI7PV5YXOFML97LNV7JXRH","model","mismatch","uniform","","","","","","","2063.2999999523163","22026.200000047684","24089.5","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","47005","0.0-6.0","p475508","A1TMZLYXQAK8Q0","336OE47KI3QZCSCUXSQ8J11UOZXVWV","33M4IA01QI7PV5YXOFML97LNV7JXRH","model","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":24460.800000190735}]","24461.300000190735","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","50350","0.0-7.0","p475508","A1TMZLYXQAK8Q0","336OE47KI3QZCSCUXSQ8J11UOZXVWV","33M4IA01QI7PV5YXOFML97LNV7JXRH","model","mismatch","uniform","","","","","","","2833.899999856949","49056.60000014305","51890.5","[""stimuli/WM11_HE.jpg"",""stimuli/WF14_SC.jpg"",""stimuli/AM09_CC.jpg"",""stimuli/BF06_SUR.jpg""]","stimuli/WM11_HE.jpg","stimuli/WF14_SC.jpg","stimuli/AM09_CC.jpg","stimuli/BF06_SUR.jpg","pos4","stimuli/BF06_SUR.jpg","SUR","BF06","3","1.5","3","4","stimuli/stars_3.png","2.5","[""HE"",""SC"",""CC"",""SUR""]","[""WM11"",""WF14"",""AM09"",""BF06""]","[6,4,6,3]","[6,2,8,4]","","",""
"show-reward","8","52357","0.0-8.0","p475508","A1TMZLYXQAK8Q0","336OE47KI3QZCSCUXSQ8J11UOZXVWV","33M4IA01QI7PV5YXOFML97LNV7JXRH","model","mismatch","uniform","","","","","","","","52402.200000047684","54405.700000047684","","","","","","","","","","","","3","","stimuli/stars_3.png","2.5","","","","","stimuli/BF06_SUR.jpg","",""
"explore-choice","9","56883","0.0-9.0","p475508","A1TMZLYXQAK8Q0","336OE47KI3QZCSCUXSQ8J11UOZXVWV","33M4IA01QI7PV5YXOFML97LNV7JXRH","model","mismatch","uniform","","","","","","","4016.2999999523163","54407.300000190735","58423.60000014305","[""stimuli/BF06_SC.jpg"",""stimuli/AM09_HE.jpg"",""stimuli/WM11_SUR.jpg"",""stimuli/WF14_CC.jpg""]","stimuli/BF06_SC.jpg","stimuli/AM09_HE.jpg","stimuli/WM11_SUR.jpg","stimuli/WF14_CC.jpg","pos1","stimuli/BF06_SC.jpg","SC","BF06","0","3","6","4","stimuli/stars_6.png","5.5","[""SC"",""HE"",""SUR"",""CC""]","[""BF06"",""AM09"",""WM11"",""WF14""]","[6,10,6,0]","[4,8,6,2]","","",""
"show-reward","10","58899","0.0-10.0","p475508","A1TMZLYXQAK8Q0","336OE47KI3QZCSCUXSQ8J11UOZXVWV","33M4IA01QI7PV5YXOFML97LNV7JXRH","model","mismatch","uniform","","","","","","","","58933.700000047684","60947.10000014305","","","","","","","","","","","","6","","stimuli/stars_6.png","5.5","","","","","stimuli/BF06_SC.jpg","",""
"explore-choice","11","62668","0.0-11.0","p475508","A1TMZLYXQAK8Q0","336OE47KI3QZCSCUXSQ8J11UOZXVWV","33M4IA01QI7PV5YXOFML97LNV7JXRH","model","mismatch","uniform","","","","","","","3262.399999856949","60948.60000014305","64211","[""stimuli/WF14_SUR.jpg"",""stimuli/WM11_SC.jpg"",""stimuli/BF06_HE.jpg"",""stimuli/AM09_CC.jpg""]","stimuli/WF14_SUR.jpg","stimuli/WM11_SC.jpg","stimuli/BF06_HE.jpg","stimuli/AM09_CC.jpg","pos2","stimuli/WM11_SC.jpg","SC","WM11","1","4","8","6","stimuli/stars_8.png","9.5","[""SUR"",""SC"",""HE"",""CC""]","[""WF14"",""WM11"",""BF06"",""AM09""]","[2,8,6,8]","[2,6,4,8]","","",""
