"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","17","0.0-0.0","p494893","ASVRLMDNQBUD9","336OE47KI3QZCSCUXSQ8J11UOZXVWV","3IXEICO794PPS5RTRHIQ999LMOHT6W","emotion","match","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","8858","0.0-1.0","p494893","ASVRLMDNQBUD9","336OE47KI3QZCSCUXSQ8J11UOZXVWV","3IXEICO794PPS5RTRHIQ999LMOHT6W","emotion","match","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","21713","0.0-2.0","p494893","ASVRLMDNQBUD9","336OE47KI3QZCSCUXSQ8J11UOZXVWV","3IXEICO794PPS5RTRHIQ999LMOHT6W","emotion","match","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","36926","0.0-3.0","p494893","ASVRLMDNQBUD9","336OE47KI3QZCSCUXSQ8J11UOZXVWV","3IXEICO794PPS5RTRHIQ999LMOHT6W","emotion","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":15209.900000095367}]","15211","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","39893","0.0-4.0","p494893","ASVRLMDNQBUD9","336OE47KI3QZCSCUXSQ8J11UOZXVWV","3IXEICO794PPS5RTRHIQ999LMOHT6W","emotion","match","uniform","","","","","","","2459.4000000953674","39335.700000047684","41795.10000014305","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","42509","0.0-5.0","p494893","ASVRLMDNQBUD9","336OE47KI3QZCSCUXSQ8J11UOZXVWV","3IXEICO794PPS5RTRHIQ999LMOHT6W","emotion","match","uniform","","","","","","","2113.0999999046326","42304.10000014305","44417.200000047684","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","68354","0.0-6.0","p494893","ASVRLMDNQBUD9","336OE47KI3QZCSCUXSQ8J11UOZXVWV","3IXEICO794PPS5RTRHIQ999LMOHT6W","emotion","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":25843}]","25843.39999985695","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","72641","0.0-7.0","p494893","ASVRLMDNQBUD9","336OE47KI3QZCSCUXSQ8J11UOZXVWV","3IXEICO794PPS5RTRHIQ999LMOHT6W","emotion","match","uniform","","","","","","","3784.2000000476837","70764.40000009537","74548.60000014305","[""stimuli/AM06_SC.jpg"",""stimuli/BM03_SUR.jpg"",""stimuli/HM07_FO.jpg"",""stimuli/BF08_CC.jpg""]","stimuli/AM06_SC.jpg","stimuli/BM03_SUR.jpg","stimuli/HM07_FO.jpg","stimuli/BF08_CC.jpg","pos1","stimuli/AM06_SC.jpg","SC","AM06","0","0","0","2","stimuli/stars_0.png","1","[""SC"",""SUR"",""FO"",""CC""]","[""AM06"",""BM03"",""HM07"",""BF08""]","[0,9,7,5]","[2,8,6,4]","","",""
"show-reward","8","74647","0.0-8.0","p494893","ASVRLMDNQBUD9","336OE47KI3QZCSCUXSQ8J11UOZXVWV","3IXEICO794PPS5RTRHIQ999LMOHT6W","emotion","match","uniform","","","","","","","","75051.80000019073","77055.40000009537","","","","","","","","","","","","0","","stimuli/stars_0.png","1","","","","","stimuli/AM06_SC.jpg","",""
"explore-choice","9","77877","0.0-9.0","p494893","ASVRLMDNQBUD9","336OE47KI3QZCSCUXSQ8J11UOZXVWV","3IXEICO794PPS5RTRHIQ999LMOHT6W","emotion","match","uniform","","","","","","","2725.2999999523163","77057.10000014305","79782.40000009537","[""stimuli/AM06_CC.jpg"",""stimuli/BM03_SC.jpg"",""stimuli/BF08_SUR.jpg"",""stimuli/HM07_FO.jpg""]","stimuli/AM06_CC.jpg","stimuli/BM03_SC.jpg","stimuli/BF08_SUR.jpg","stimuli/HM07_FO.jpg","pos4","stimuli/HM07_FO.jpg","FO","HM07","3","3","6","6","stimuli/stars_6.png","4","[""CC"",""SC"",""SUR"",""FO""]","[""AM06"",""BM03"",""BF08"",""HM07""]","[4,0,8,6]","[4,2,8,6]","","",""
