"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","16","0.0-0.0","p512429","A1EDLMO8ACUTBP","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3TXD01ZLD6NQDV248YFLH7B99BIU43","emotion","match","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","1352","0.0-1.0","p512429","A1EDLMO8ACUTBP","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3TXD01ZLD6NQDV248YFLH7B99BIU43","emotion","match","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","4741","0.0-2.0","p512429","A1EDLMO8ACUTBP","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3TXD01ZLD6NQDV248YFLH7B99BIU43","emotion","match","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","6182","0.0-3.0","p512429","A1EDLMO8ACUTBP","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3TXD01ZLD6NQDV248YFLH7B99BIU43","emotion","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":1439.6000000238419}]","1440.1000000238419","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","10538","0.0-4.0","p512429","A1EDLMO8ACUTBP","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3TXD01ZLD6NQDV248YFLH7B99BIU43","emotion","match","uniform","","","","","","","3837.899999976158","7274.5","11112.399999976158","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","18856","0.0-5.0","p512429","A1EDLMO8ACUTBP","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3TXD01ZLD6NQDV248YFLH7B99BIU43","emotion","match","uniform","","","","","","","7804.199999928474","11628.800000071526","19433","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","21166","0.0-6.0","p512429","A1EDLMO8ACUTBP","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3TXD01ZLD6NQDV248YFLH7B99BIU43","emotion","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":2309.2999999523163}]","2309.5","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","29400","0.0-7.0","p512429","A1EDLMO8ACUTBP","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3TXD01ZLD6NQDV248YFLH7B99BIU43","emotion","match","uniform","","","","","","","7731.200000047684","22258.600000023842","29989.800000071526","[""stimuli/HF04_HE.jpg"",""stimuli/BF06_CC.jpg"",""stimuli/HM07_SC.jpg"",""stimuli/AF10_FO.jpg""]","stimuli/HF04_HE.jpg","stimuli/BF06_CC.jpg","stimuli/HM07_SC.jpg","stimuli/AF10_FO.jpg","pos1","stimuli/HF04_HE.jpg","HE","HF04","0","3.5","7","6","stimuli/stars_7.png","4.5","[""HE"",""CC"",""SC"",""FO""]","[""HF04"",""BF06"",""HM07"",""AF10""]","[7,6,8,0]","[6,4,8,2]","","",""
"show-reward","8","31413","0.0-8.0","p512429","A1EDLMO8ACUTBP","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3TXD01ZLD6NQDV248YFLH7B99BIU43","emotion","match","uniform","","","","","","","","30492.100000023842","32503.200000047684","","","","","","","","","","","","7","","stimuli/stars_7.png","4.5","","","","","stimuli/HF04_HE.jpg","",""
"explore-choice","9","38247","0.0-9.0","p512429","A1EDLMO8ACUTBP","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3TXD01ZLD6NQDV248YFLH7B99BIU43","emotion","match","uniform","","","","","","","6332.5","32504.399999976158","38836.89999997616","[""stimuli/HF04_HE.jpg"",""stimuli/AF10_CC.jpg"",""stimuli/HM07_SC.jpg"",""stimuli/BF06_FO.jpg""]","stimuli/HF04_HE.jpg","stimuli/AF10_CC.jpg","stimuli/HM07_SC.jpg","stimuli/BF06_FO.jpg","pos1","stimuli/HF04_HE.jpg","HE","HF04","0","3.5","7","6","stimuli/stars_7.png","8","[""HE"",""CC"",""SC"",""FO""]","[""HF04"",""AF10"",""HM07"",""BF06""]","[7,6,8,1]","[6,4,8,2]","","",""
