"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","8","0.0-0.0","p36357","AD15OW944ZV20","3PKJ68EHDO28O7HBL4QPFAGDEPGHJ1","3OWEPKL08BIA1S0EDV166O3PSIK7NF","emotion","match","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","3189","0.0-1.0","p36357","AD15OW944ZV20","3PKJ68EHDO28O7HBL4QPFAGDEPGHJ1","3OWEPKL08BIA1S0EDV166O3PSIK7NF","emotion","match","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","11779","0.0-2.0","p36357","AD15OW944ZV20","3PKJ68EHDO28O7HBL4QPFAGDEPGHJ1","3OWEPKL08BIA1S0EDV166O3PSIK7NF","emotion","match","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","18241","0.0-3.0","p36357","AD15OW944ZV20","3PKJ68EHDO28O7HBL4QPFAGDEPGHJ1","3OWEPKL08BIA1S0EDV166O3PSIK7NF","emotion","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":6461.699999988079}]","6461.899999976158","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","21254","0.0-4.0","p36357","AD15OW944ZV20","3PKJ68EHDO28O7HBL4QPFAGDEPGHJ1","3OWEPKL08BIA1S0EDV166O3PSIK7NF","emotion","match","uniform","","","","","","","2511.399999976158","19508.80000001192","22020.19999998808","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","23431","0.0-5.0","p36357","AD15OW944ZV20","3PKJ68EHDO28O7HBL4QPFAGDEPGHJ1","3OWEPKL08BIA1S0EDV166O3PSIK7NF","emotion","match","uniform","","","","","","","1674.800000011921","22521.69999998808","24196.5","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","47057","0.0-6.0","p36357","AD15OW944ZV20","3PKJ68EHDO28O7HBL4QPFAGDEPGHJ1","3OWEPKL08BIA1S0EDV166O3PSIK7NF","emotion","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":23625.5}]","23625.80000001192","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","49098","0.0-7.0","p36357","AD15OW944ZV20","3PKJ68EHDO28O7HBL4QPFAGDEPGHJ1","3OWEPKL08BIA1S0EDV166O3PSIK7NF","emotion","match","uniform","","","","","","","1535.300000011921","48324.89999997616","49860.19999998808","[""stimuli/AM09_SUR.jpg"",""stimuli/BM07_AO.jpg"",""stimuli/HF04_DO.jpg"",""stimuli/AF09_FO.jpg""]","stimuli/AM09_SUR.jpg","stimuli/BM07_AO.jpg","stimuli/HF04_DO.jpg","stimuli/AF09_FO.jpg","pos2","stimuli/BM07_AO.jpg","AO","BM07","1","2.5","5","6","stimuli/stars_5.png","3.5","[""SUR"",""AO"",""DO"",""FO""]","[""AM09"",""BM07"",""HF04"",""AF09""]","[5,5,2,7]","[4,6,2,8]","","",""
"show-reward","8","51114","0.0-8.0","p36357","AD15OW944ZV20","3PKJ68EHDO28O7HBL4QPFAGDEPGHJ1","3OWEPKL08BIA1S0EDV166O3PSIK7NF","emotion","match","uniform","","","","","","","","50365.60000002384","52380.69999998808","","","","","","","","","","","","5","","stimuli/stars_5.png","3.5","","","","","stimuli/BM07_AO.jpg","",""
"explore-choice","9","54094","0.0-9.0","p36357","AD15OW944ZV20","3PKJ68EHDO28O7HBL4QPFAGDEPGHJ1","3OWEPKL08BIA1S0EDV166O3PSIK7NF","emotion","match","uniform","","","","","","","2479","52381.60000002384","54860.60000002384","[""stimuli/AM09_AO.jpg"",""stimuli/BM07_SUR.jpg"",""stimuli/AF09_DO.jpg"",""stimuli/HF04_FO.jpg""]","stimuli/AM09_AO.jpg","stimuli/BM07_SUR.jpg","stimuli/AF09_DO.jpg","stimuli/HF04_FO.jpg","pos3","stimuli/AF09_DO.jpg","DO","AF09","2","0","0","2","stimuli/stars_0.png","3.5","[""AO"",""SUR"",""DO"",""FO""]","[""AM09"",""BM07"",""AF09"",""HF04""]","[4,6,0,8]","[6,4,2,8]","","",""
