"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","8","0.0-0.0","p945386","A1JR35HATOEME9","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3JZQSN0I3SGH6TYY8AMN4W79PUUFGW","model","mismatch","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","4077","0.0-1.0","p945386","A1JR35HATOEME9","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3JZQSN0I3SGH6TYY8AMN4W79PUUFGW","model","mismatch","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","9833","0.0-2.0","p945386","A1JR35HATOEME9","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3JZQSN0I3SGH6TYY8AMN4W79PUUFGW","model","mismatch","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","18094","0.0-3.0","p945386","A1JR35HATOEME9","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3JZQSN0I3SGH6TYY8AMN4W79PUUFGW","model","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":8259.599999964237}]","8260.099999964237","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","20480","0.0-4.0","p945386","A1JR35HATOEME9","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3JZQSN0I3SGH6TYY8AMN4W79PUUFGW","model","mismatch","uniform","","","","","","","1884.3999999761581","19507.600000023842","21392","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","22387","0.0-5.0","p945386","A1JR35HATOEME9","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3JZQSN0I3SGH6TYY8AMN4W79PUUFGW","model","mismatch","uniform","","","","","","","1400.0999999642372","21893.700000047684","23293.80000001192","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","46064","0.0-6.0","p945386","A1JR35HATOEME9","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3JZQSN0I3SGH6TYY8AMN4W79PUUFGW","model","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":23676.299999952316}]","23676.399999976158","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","47881","0.0-7.0","p945386","A1JR35HATOEME9","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3JZQSN0I3SGH6TYY8AMN4W79PUUFGW","model","mismatch","uniform","","","","","","","1314.800000011921","47478.80000001192","48793.60000002384","[""stimuli/WM09_HE.jpg"",""stimuli/AF09_SC.jpg"",""stimuli/HF09_FO.jpg"",""stimuli/WM07_DO.jpg""]","stimuli/WM09_HE.jpg","stimuli/AF09_SC.jpg","stimuli/HF09_FO.jpg","stimuli/WM07_DO.jpg","pos1","stimuli/WM09_HE.jpg","HE","WM09","0","3","6","4","stimuli/stars_6.png","4","[""HE"",""SC"",""FO"",""DO""]","[""WM09"",""AF09"",""HF09"",""WM07""]","[6,8,1,6]","[4,6,2,8]","","",""
"show-reward","8","49884","0.0-8.0","p945386","A1JR35HATOEME9","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3JZQSN0I3SGH6TYY8AMN4W79PUUFGW","model","mismatch","uniform","","","","","","","","49295.60000002384","51297.60000002384","","","","","","","","","","","","6","","stimuli/stars_6.png","4","","","","","stimuli/WM09_HE.jpg","",""
"explore-choice","9","52479","0.0-9.0","p945386","A1JR35HATOEME9","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3JZQSN0I3SGH6TYY8AMN4W79PUUFGW","model","mismatch","uniform","","","","","","","2077.699999988079","51298.40000003576","53376.10000002384","[""stimuli/HF09_SC.jpg"",""stimuli/WM07_DO.jpg"",""stimuli/WM09_HE.jpg"",""stimuli/AF09_FO.jpg""]","stimuli/HF09_SC.jpg","stimuli/WM07_DO.jpg","stimuli/WM09_HE.jpg","stimuli/AF09_FO.jpg","pos2","stimuli/WM07_DO.jpg","DO","WM07","1","4","8","8","stimuli/stars_8.png","8","[""SC"",""DO"",""HE"",""FO""]","[""HF09"",""WM07"",""WM09"",""AF09""]","[4,8,6,4]","[2,8,4,6]","","",""
