"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","13","0.0-0.0","p626789","A37OUZOGQKGMW0","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","3ZQIG0FLQGM2ZCAONUV98LWJ7CUWVM","emotion","match","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","4226","0.0-1.0","p626789","A37OUZOGQKGMW0","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","3ZQIG0FLQGM2ZCAONUV98LWJ7CUWVM","emotion","match","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","17235","0.0-2.0","p626789","A37OUZOGQKGMW0","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","3ZQIG0FLQGM2ZCAONUV98LWJ7CUWVM","emotion","match","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","50347","0.0-3.0","p626789","A37OUZOGQKGMW0","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","3ZQIG0FLQGM2ZCAONUV98LWJ7CUWVM","emotion","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":33109.30000001192}]","33110.30000001192","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","54154","0.0-4.0","p626789","A37OUZOGQKGMW0","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","3ZQIG0FLQGM2ZCAONUV98LWJ7CUWVM","emotion","match","uniform","","","","","","","3300.400000035763","52306.09999996424","55606.5","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","58344","0.0-5.0","p626789","A37OUZOGQKGMW0","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","3ZQIG0FLQGM2ZCAONUV98LWJ7CUWVM","emotion","match","uniform","","","","","","","3686.2000000476837","56113.299999952316","59799.5","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","80489","0.0-6.0","p626789","A37OUZOGQKGMW0","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","3ZQIG0FLQGM2ZCAONUV98LWJ7CUWVM","emotion","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":22143.600000023842}]","22144.100000023842","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","87738","0.0-7.0","p626789","A37OUZOGQKGMW0","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","3ZQIG0FLQGM2ZCAONUV98LWJ7CUWVM","emotion","match","uniform","","","","","","","6741.900000035763","82448.29999995232","89190.19999998808","[""stimuli/AF02_SUR.jpg"",""stimuli/AF09_HO.jpg"",""stimuli/BF04_DO.jpg"",""stimuli/WM13_AO.jpg""]","stimuli/AF02_SUR.jpg","stimuli/AF09_HO.jpg","stimuli/BF04_DO.jpg","stimuli/WM13_AO.jpg","pos4","stimuli/WM13_AO.jpg","AO","WM13","3","4","8","8","stimuli/stars_8.png","5","[""SUR"",""HO"",""DO"",""AO""]","[""AF02"",""AF09"",""BF04"",""WM13""]","[2,5,3,8]","[2,6,4,8]","","",""
"show-reward","8","89755","0.0-8.0","p626789","A37OUZOGQKGMW0","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","3ZQIG0FLQGM2ZCAONUV98LWJ7CUWVM","emotion","match","uniform","","","","","","","","89697.89999997616","91711.69999998808","","","","","","","","","","","","8","","stimuli/stars_8.png","5","","","","","stimuli/WM13_AO.jpg","",""
"explore-choice","9","93930","0.0-9.0","p626789","A37OUZOGQKGMW0","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","3ZQIG0FLQGM2ZCAONUV98LWJ7CUWVM","emotion","match","uniform","","","","","","","3672.599999964237","91713.5","95386.09999996424","[""stimuli/AF09_HO.jpg"",""stimuli/AF02_SUR.jpg"",""stimuli/BF04_AO.jpg"",""stimuli/WM13_DO.jpg""]","stimuli/AF09_HO.jpg","stimuli/AF02_SUR.jpg","stimuli/BF04_AO.jpg","stimuli/WM13_DO.jpg","pos4","stimuli/WM13_DO.jpg","DO","WM13","3","3","6","4","stimuli/stars_6.png","8","[""HO"",""SUR"",""AO"",""DO""]","[""AF09"",""AF02"",""BF04"",""WM13""]","[4,1,10,6]","[6,2,8,4]","","",""
