"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video"
"pavlovia","0","7","0.0-0.0","p863896","A110KENBXU7SUJ","3P888QFVX40Z2B7BK75OWKP045JQOK","3VE8AYVF8O32DESGPCAZCJQB1A08FQ","emotion","match","uniform","","","","",""
"preload","1","1738","0.0-1.0","p863896","A110KENBXU7SUJ","3P888QFVX40Z2B7BK75OWKP045JQOK","3VE8AYVF8O32DESGPCAZCJQB1A08FQ","emotion","match","uniform","true","false","[]","[]","[]"
