"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","10","0.0-0.0","p796589","A3M97OV77U9I31","3S1L4CQSFYBD9IN1W8PCJQ1H8N7AFE","3X87C8JFV8HHNNXYHQRY59UQK6FSQ3","emotion","match","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2829","0.0-1.0","p796589","A3M97OV77U9I31","3S1L4CQSFYBD9IN1W8PCJQ1H8N7AFE","3X87C8JFV8HHNNXYHQRY59UQK6FSQ3","emotion","match","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","8902","0.0-2.0","p796589","A3M97OV77U9I31","3S1L4CQSFYBD9IN1W8PCJQ1H8N7AFE","3X87C8JFV8HHNNXYHQRY59UQK6FSQ3","emotion","match","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","25639","0.0-3.0","p796589","A3M97OV77U9I31","3S1L4CQSFYBD9IN1W8PCJQ1H8N7AFE","3X87C8JFV8HHNNXYHQRY59UQK6FSQ3","emotion","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":16734}]","16734.600000023842","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","28094","0.0-4.0","p796589","A3M97OV77U9I31","3S1L4CQSFYBD9IN1W8PCJQ1H8N7AFE","3X87C8JFV8HHNNXYHQRY59UQK6FSQ3","emotion","match","uniform","","","","","","","1951.7000000476837","28516.399999976158","30468.100000023842","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","29710","0.0-5.0","p796589","A3M97OV77U9I31","3S1L4CQSFYBD9IN1W8PCJQ1H8N7AFE","3X87C8JFV8HHNNXYHQRY59UQK6FSQ3","emotion","match","uniform","","","","","","","1109.6000000238419","30971.600000023842","32081.200000047684","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","33069","0.0-6.0","p796589","A3M97OV77U9I31","3S1L4CQSFYBD9IN1W8PCJQ1H8N7AFE","3X87C8JFV8HHNNXYHQRY59UQK6FSQ3","emotion","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":3357.1999999284744}]","3357.6999999284744","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","36496","0.0-7.0","p796589","A3M97OV77U9I31","3S1L4CQSFYBD9IN1W8PCJQ1H8N7AFE","3X87C8JFV8HHNNXYHQRY59UQK6FSQ3","emotion","match","uniform","","","","","","","2923.399999976158","35948","38871.39999997616","[""stimuli/HM07_HO.jpg"",""stimuli/WF14_SC.jpg"",""stimuli/AM05_SUR.jpg"",""stimuli/HM09_DO.jpg""]","stimuli/HM07_HO.jpg","stimuli/WF14_SC.jpg","stimuli/AM05_SUR.jpg","stimuli/HM09_DO.jpg","pos4","stimuli/HM09_DO.jpg","DO","HM09","3","3","6","8","stimuli/stars_6.png","4","[""HO"",""SC"",""SUR"",""DO""]","[""HM07"",""WF14"",""AM05"",""HM09""]","[1,2,7,6]","[2,4,6,8]","","",""
"show-reward","8","38507","0.0-8.0","p796589","A3M97OV77U9I31","3S1L4CQSFYBD9IN1W8PCJQ1H8N7AFE","3X87C8JFV8HHNNXYHQRY59UQK6FSQ3","emotion","match","uniform","","","","","","","","39375.799999952316","41382.60000002384","","","","","","","","","","","","6","","stimuli/stars_6.png","4","","","","","stimuli/HM09_DO.jpg","",""
"explore-choice","9","40811","0.0-9.0","p796589","A3M97OV77U9I31","3S1L4CQSFYBD9IN1W8PCJQ1H8N7AFE","3X87C8JFV8HHNNXYHQRY59UQK6FSQ3","emotion","match","uniform","","","","","","","1797.3999999761581","41385","43182.39999997616","[""stimuli/AM05_HO.jpg"",""stimuli/HM07_SC.jpg"",""stimuli/HM09_SUR.jpg"",""stimuli/WF14_DO.jpg""]","stimuli/AM05_HO.jpg","stimuli/HM07_SC.jpg","stimuli/HM09_SUR.jpg","stimuli/WF14_DO.jpg","pos4","stimuli/WF14_DO.jpg","DO","WF14","3","5","10","8","stimuli/stars_10.png","9","[""HO"",""SC"",""SUR"",""DO""]","[""AM05"",""HM07"",""HM09"",""WF14""]","[2,5,5,10]","[2,4,6,8]","","",""
