"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","52","0.0-0.0","p219921","APVJEN2541WFB","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","31HQ4X3T3UG6WQHLPLJ2ONVWA0SSLE","emotion","mismatch","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","20679","0.0-1.0","p219921","APVJEN2541WFB","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","31HQ4X3T3UG6WQHLPLJ2ONVWA0SSLE","emotion","mismatch","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","23178","0.0-2.0","p219921","APVJEN2541WFB","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","31HQ4X3T3UG6WQHLPLJ2ONVWA0SSLE","emotion","mismatch","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","29715","0.0-3.0","p219921","APVJEN2541WFB","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","31HQ4X3T3UG6WQHLPLJ2ONVWA0SSLE","emotion","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":6531.600000023842}]","6533.200000047684","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","33098","0.0-4.0","p219921","APVJEN2541WFB","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","31HQ4X3T3UG6WQHLPLJ2ONVWA0SSLE","emotion","mismatch","uniform","","","","","","","2870.899999976158","33483","36353.89999997616","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","35117","0.0-5.0","p219921","APVJEN2541WFB","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","31HQ4X3T3UG6WQHLPLJ2ONVWA0SSLE","emotion","mismatch","uniform","","","","","","","1510.8999999761581","36867.10000002384","38378","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","52559","0.0-6.0","p219921","APVJEN2541WFB","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","31HQ4X3T3UG6WQHLPLJ2ONVWA0SSLE","emotion","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":17438.600000023842}]","17439.100000023842","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","57018","0.0-7.0","p219921","APVJEN2541WFB","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","31HQ4X3T3UG6WQHLPLJ2ONVWA0SSLE","emotion","mismatch","uniform","","","","","","","3948.1999999284744","56329.60000002384","60277.799999952316","[""stimuli/BM16_SUR.jpg"",""stimuli/BF05_HE.jpg"",""stimuli/BF06_SC.jpg"",""stimuli/AM09_HO.jpg""]","stimuli/BM16_SUR.jpg","stimuli/BF05_HE.jpg","stimuli/BF06_SC.jpg","stimuli/AM09_HO.jpg","pos2","stimuli/BF05_HE.jpg","HE","BF05","1","2.5","5","4","stimuli/stars_5.png","3.5","[""SUR"",""HE"",""SC"",""HO""]","[""BM16"",""BF05"",""BF06"",""AM09""]","[5,5,1,9]","[6,4,2,8]","","",""
"show-reward","8","59052","0.0-8.0","p219921","APVJEN2541WFB","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","31HQ4X3T3UG6WQHLPLJ2ONVWA0SSLE","emotion","mismatch","uniform","","","","","","","","60793.39999997616","62817.299999952316","","","","","","","","","","","","5","","stimuli/stars_5.png","3.5","","","","","stimuli/BF05_HE.jpg","",""
"explore-choice","9","61168","0.0-9.0","p219921","APVJEN2541WFB","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","31HQ4X3T3UG6WQHLPLJ2ONVWA0SSLE","emotion","mismatch","uniform","","","","","","","1607.6000000238419","62820.199999928474","64427.799999952316","[""stimuli/AM09_HE.jpg"",""stimuli/BF05_HO.jpg"",""stimuli/BM16_SC.jpg"",""stimuli/BF06_SUR.jpg""]","stimuli/AM09_HE.jpg","stimuli/BF05_HO.jpg","stimuli/BM16_SC.jpg","stimuli/BF06_SUR.jpg","pos2","stimuli/BF05_HO.jpg","HO","BF05","1","5","10","8","stimuli/stars_10.png","8.5","[""HE"",""HO"",""SC"",""SUR""]","[""AM09"",""BF05"",""BM16"",""BF06""]","[6,10,2,7]","[4,8,2,6]","","",""
