"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","16","0.0-0.0","p698081","A19TD2J8506A4Y","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","345LHZDEDZY5VZJ08KA272J3VBMU3I","model","match","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","49043","0.0-1.0","p698081","A19TD2J8506A4Y","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","345LHZDEDZY5VZJ08KA272J3VBMU3I","model","match","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","55137","0.0-2.0","p698081","A19TD2J8506A4Y","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","345LHZDEDZY5VZJ08KA272J3VBMU3I","model","match","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","61440","0.0-3.0","p698081","A19TD2J8506A4Y","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","345LHZDEDZY5VZJ08KA272J3VBMU3I","model","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":6297.5999999996275}]","6298.799999999814","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","64420","0.0-4.0","p698081","A19TD2J8506A4Y","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","345LHZDEDZY5VZJ08KA272J3VBMU3I","model","match","uniform","","","","","","","2461.9000000003725","64933.700000000186","67395.60000000056","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","67061","0.0-5.0","p698081","A19TD2J8506A4Y","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","345LHZDEDZY5VZJ08KA272J3VBMU3I","model","match","uniform","","","","","","","2137.199999999255","67913.60000000056","70050.79999999981","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","88663","0.0-6.0","p698081","A19TD2J8506A4Y","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","345LHZDEDZY5VZJ08KA272J3VBMU3I","model","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":21599.199999999255}]","21599.699999999255","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","91945","0.0-7.0","p698081","A19TD2J8506A4Y","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","345LHZDEDZY5VZJ08KA272J3VBMU3I","model","match","uniform","","","","","","","2774.4000000003725","92156.79999999981","94931.20000000019","[""stimuli/AF02_FO.jpg"",""stimuli/HF04_SC.jpg"",""stimuli/HF02_HO.jpg"",""stimuli/BM03_SUR.jpg""]","stimuli/AF02_FO.jpg","stimuli/HF04_SC.jpg","stimuli/HF02_HO.jpg","stimuli/BM03_SUR.jpg","pos4","stimuli/BM03_SUR.jpg","SUR","BM03","3","4","8","8","stimuli/stars_8.png","5","[""FO"",""SC"",""HO"",""SUR""]","[""AF02"",""HF04"",""HF02"",""BM03""]","[2,4,1,8]","[4,6,2,8]","","",""
"show-reward","8","93955","0.0-8.0","p698081","A19TD2J8506A4Y","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","345LHZDEDZY5VZJ08KA272J3VBMU3I","model","match","uniform","","","","","","","","95441.10000000056","97446.60000000056","","","","","","","","","","","","8","","stimuli/stars_8.png","5","","","","","stimuli/BM03_SUR.jpg","",""
"explore-choice","9","96488","0.0-9.0","p698081","A19TD2J8506A4Y","3WPCIUYH1BELQU8EB2L3QVOOKYBTD4","345LHZDEDZY5VZJ08KA272J3VBMU3I","model","match","uniform","","","","","","","2025.4000000003725","97449.29999999981","99474.70000000019","[""stimuli/HF02_FO.jpg"",""stimuli/AF02_HO.jpg"",""stimuli/BM03_SUR.jpg"",""stimuli/HF04_SC.jpg""]","stimuli/HF02_FO.jpg","stimuli/AF02_HO.jpg","stimuli/BM03_SUR.jpg","stimuli/HF04_SC.jpg","pos4","stimuli/HF04_SC.jpg","SC","HF04","3","2","4","6","stimuli/stars_4.png","7","[""FO"",""HO"",""SUR"",""SC""]","[""HF02"",""AF02"",""BM03"",""HF04""]","[4,2,10,4]","[2,4,8,6]","","",""
