"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","12","0.0-0.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","3663","0.0-1.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","6249","0.0-2.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","12883","0.0-3.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":6632.300000000745}]","6632.89999999851","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","15337","0.0-4.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","1950","14335.599999997765","16285.599999997765","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","17063","0.0-5.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","1222.300000000745","16789.599999997765","18011.89999999851","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","25229","0.0-6.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":8165.20000000298}]","8165.400000002235","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","28609","0.0-7.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","2878.5","26682.5","29561","[""stimuli/AF10_FO.jpg"",""stimuli/WF06_SC.jpg"",""stimuli/BM03_AO.jpg"",""stimuli/HM07_HE.jpg""]","stimuli/AF10_FO.jpg","stimuli/WF06_SC.jpg","stimuli/BM03_AO.jpg","stimuli/HM07_HE.jpg","pos3","stimuli/BM03_AO.jpg","AO","BM03","2","4","8","8","stimuli/stars_8.png","5","[""FO"",""SC"",""AO"",""HE""]","[""AF10"",""WF06"",""BM03"",""HM07""]","[8,5,8,0]","[6,4,8,2]","","",""
"show-reward","8","30614","0.0-8.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","","30063.5","32066.5","","","","","","","","","","","","8","","stimuli/stars_8.png","5","","","","","stimuli/BM03_AO.jpg","",""
"explore-choice","9","32659","0.0-9.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","1543.5","32067.599999997765","33611.099999997765","[""stimuli/WF06_SC.jpg"",""stimuli/HM07_AO.jpg"",""stimuli/BM03_FO.jpg"",""stimuli/AF10_HE.jpg""]","stimuli/WF06_SC.jpg","stimuli/HM07_AO.jpg","stimuli/BM03_FO.jpg","stimuli/AF10_HE.jpg","pos2","stimuli/HM07_AO.jpg","AO","HM07","1","2","4","2","stimuli/stars_4.png","7","[""SC"",""AO"",""FO"",""HE""]","[""WF06"",""HM07"",""BM03"",""AF10""]","[6,4,9,6]","[4,2,8,6]","","",""
"show-reward","10","34662","0.0-10.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","","34112.300000000745","36114.39999999851","","","","","","","","","","","","4","","stimuli/stars_4.png","7","","","","","stimuli/HM07_AO.jpg","",""
"explore-choice","11","36214","0.0-11.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","1050.699999999255","36115.39999999851","37166.099999997765","[""stimuli/BM03_SC.jpg"",""stimuli/HM07_AO.jpg"",""stimuli/WF06_HE.jpg"",""stimuli/AF10_FO.jpg""]","stimuli/BM03_SC.jpg","stimuli/HM07_AO.jpg","stimuli/WF06_HE.jpg","stimuli/AF10_FO.jpg","pos1","stimuli/BM03_SC.jpg","SC","BM03","0","4","8","8","stimuli/stars_8.png","11","[""SC"",""AO"",""HE"",""FO""]","[""BM03"",""HM07"",""WF06"",""AF10""]","[8,4,4,6]","[8,2,4,6]","","",""
"show-reward","12","38218","0.0-12.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","","37667.89999999851","39670.800000000745","","","","","","","","","","","","8","","stimuli/stars_8.png","11","","","","","stimuli/BM03_SC.jpg","",""
"explore-choice","13","39682","0.0-13.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","959.8000000007451","39671.699999999255","40631.5","[""stimuli/WF06_HE.jpg"",""stimuli/HM07_AO.jpg"",""stimuli/BM03_FO.jpg"",""stimuli/AF10_SC.jpg""]","stimuli/WF06_HE.jpg","stimuli/HM07_AO.jpg","stimuli/BM03_FO.jpg","stimuli/AF10_SC.jpg","pos3","stimuli/BM03_FO.jpg","FO","BM03","2","4.5","9","8","stimuli/stars_9.png","15.5","[""HE"",""AO"",""FO"",""SC""]","[""WF06"",""HM07"",""BM03"",""AF10""]","[6,2,9,4]","[4,2,8,6]","","",""
"show-reward","14","41689","0.0-14.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","","41135.599999997765","43141.699999999255","","","","","","","","","","","","9","","stimuli/stars_9.png","15.5","","","","","stimuli/BM03_FO.jpg","",""
"explore-choice","15","43042","0.0-15.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","848.9000000022352","43142.89999999851","43991.800000000745","[""stimuli/WF06_HE.jpg"",""stimuli/AF10_AO.jpg"",""stimuli/BM03_FO.jpg"",""stimuli/HM07_SC.jpg""]","stimuli/WF06_HE.jpg","stimuli/AF10_AO.jpg","stimuli/BM03_FO.jpg","stimuli/HM07_SC.jpg","pos3","stimuli/BM03_FO.jpg","FO","BM03","2","4","8","8","stimuli/stars_8.png","19.5","[""HE"",""AO"",""FO"",""SC""]","[""WF06"",""AF10"",""BM03"",""HM07""]","[2,4,8,1]","[4,6,8,2]","","",""
"show-reward","16","45046","0.0-16.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","","44495.39999999851","46498.39999999851","","","","","","","","","","","","8","","stimuli/stars_8.png","19.5","","","","","stimuli/BM03_FO.jpg","",""
"explore-choice","17","47674","0.0-17.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","2127.60000000149","46499.39999999851","48627","[""stimuli/BM03_HE.jpg"",""stimuli/AF10_SC.jpg"",""stimuli/WF06_AO.jpg"",""stimuli/HM07_FO.jpg""]","stimuli/BM03_HE.jpg","stimuli/AF10_SC.jpg","stimuli/WF06_AO.jpg","stimuli/HM07_FO.jpg","pos1","stimuli/BM03_HE.jpg","HE","BM03","0","5","10","8","stimuli/stars_10.png","24.5","[""HE"",""SC"",""AO"",""FO""]","[""BM03"",""AF10"",""WF06"",""HM07""]","[10,7,3,1]","[8,6,4,2]","","",""
"show-reward","18","49678","0.0-18.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","","49128.300000000745","51130.300000000745","","","","","","","","","","","","10","","stimuli/stars_10.png","24.5","","","","","stimuli/BM03_HE.jpg","",""
"explore-choice","19","54980","0.0-19.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","4801.300000000745","51131","55932.300000000745","[""stimuli/BM03_HE.jpg"",""stimuli/HM07_SC.jpg"",""stimuli/AF10_FO.jpg"",""stimuli/WF06_AO.jpg""]","stimuli/BM03_HE.jpg","stimuli/HM07_SC.jpg","stimuli/AF10_FO.jpg","stimuli/WF06_AO.jpg","pos1","stimuli/BM03_HE.jpg","HE","BM03","0","3.5","7","8","stimuli/stars_7.png","28","[""HE"",""SC"",""FO"",""AO""]","[""BM03"",""HM07"",""AF10"",""WF06""]","[7,4,5,3]","[8,2,6,4]","","",""
"show-reward","20","56985","0.0-20.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","","56434","58438.300000000745","","","","","","","","","","","","7","","stimuli/stars_7.png","28","","","","","stimuli/BM03_HE.jpg","",""
"explore-choice","21","58673","0.0-21.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","1183.800000000745","58439","59622.800000000745","[""stimuli/WF06_FO.jpg"",""stimuli/AF10_SC.jpg"",""stimuli/HM07_HE.jpg"",""stimuli/BM03_AO.jpg""]","stimuli/WF06_FO.jpg","stimuli/AF10_SC.jpg","stimuli/HM07_HE.jpg","stimuli/BM03_AO.jpg","pos1","stimuli/WF06_FO.jpg","FO","WF06","0","2.5","5","4","stimuli/stars_5.png","30.5","[""FO"",""SC"",""HE"",""AO""]","[""WF06"",""AF10"",""HM07"",""BM03""]","[5,4,0,6]","[4,6,2,8]","","",""
"show-reward","22","60677","0.0-22.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","","60126.5","62129.89999999851","","","","","","","","","","","","5","","stimuli/stars_5.png","30.5","","","","","stimuli/WF06_FO.jpg","",""
"explore-choice","23","62468","0.0-23.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","1287.0999999977648","62130.5","63417.599999997765","[""stimuli/AF10_SC.jpg"",""stimuli/BM03_AO.jpg"",""stimuli/WF06_HE.jpg"",""stimuli/HM07_FO.jpg""]","stimuli/AF10_SC.jpg","stimuli/BM03_AO.jpg","stimuli/WF06_HE.jpg","stimuli/HM07_FO.jpg","pos2","stimuli/BM03_AO.jpg","AO","BM03","1","5","10","8","stimuli/stars_10.png","35.5","[""SC"",""AO"",""HE"",""FO""]","[""AF10"",""BM03"",""WF06"",""HM07""]","[4,10,6,4]","[6,8,4,2]","","",""
"show-reward","24","64478","0.0-24.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","","63921.89999999851","65931.19999999925","","","","","","","","","","","","10","","stimuli/stars_10.png","35.5","","","","","stimuli/BM03_AO.jpg","",""
"explore-choice","25","66338","0.0-25.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","1355.300000000745","65931.89999999851","67287.19999999925","[""stimuli/BM03_SC.jpg"",""stimuli/WF06_AO.jpg"",""stimuli/HM07_HE.jpg"",""stimuli/AF10_FO.jpg""]","stimuli/BM03_SC.jpg","stimuli/WF06_AO.jpg","stimuli/HM07_HE.jpg","stimuli/AF10_FO.jpg","pos1","stimuli/BM03_SC.jpg","SC","BM03","0","5","10","8","stimuli/stars_10.png","40.5","[""SC"",""AO"",""HE"",""FO""]","[""BM03"",""WF06"",""HM07"",""AF10""]","[10,4,3,8]","[8,4,2,6]","","",""
"show-reward","26","68345","0.0-26.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","","67792.5","69798.39999999851","","","","","","","","","","","","10","","stimuli/stars_10.png","40.5","","","","","stimuli/BM03_SC.jpg","",""
"explore-choice","27","69681","0.0-27.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","834.3000000007451","69799","70633.30000000075","[""stimuli/WF06_SC.jpg"",""stimuli/BM03_FO.jpg"",""stimuli/AF10_AO.jpg"",""stimuli/HM07_HE.jpg""]","stimuli/WF06_SC.jpg","stimuli/BM03_FO.jpg","stimuli/AF10_AO.jpg","stimuli/HM07_HE.jpg","pos2","stimuli/BM03_FO.jpg","FO","BM03","1","3.5","7","8","stimuli/stars_7.png","44","[""SC"",""FO"",""AO"",""HE""]","[""WF06"",""BM03"",""AF10"",""HM07""]","[6,7,8,0]","[4,8,6,2]","","",""
"show-reward","28","71685","0.0-28.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","","71135.30000000075","73138.39999999851","","","","","","","","","","","","7","","stimuli/stars_7.png","44","","","","","stimuli/BM03_FO.jpg","",""
"explore-choice","29","75637","0.0-29.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","3449.5","73139.39999999851","76588.89999999851","[""stimuli/HM07_AO.jpg"",""stimuli/BM03_HE.jpg"",""stimuli/WF06_SC.jpg"",""stimuli/AF10_FO.jpg""]","stimuli/HM07_AO.jpg","stimuli/BM03_HE.jpg","stimuli/WF06_SC.jpg","stimuli/AF10_FO.jpg","pos2","stimuli/BM03_HE.jpg","HE","BM03","1","5","10","8","stimuli/stars_10.png","49","[""AO"",""HE"",""SC"",""FO""]","[""HM07"",""BM03"",""WF06"",""AF10""]","[2,10,4,5]","[2,8,4,6]","","",""
"show-reward","30","77641","0.0-30.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","","77091.59999999776","79094.30000000075","","","","","","","","","","","","10","","stimuli/stars_10.png","49","","","","","stimuli/BM03_HE.jpg","",""
"explore-choice","31","79911","0.0-31.0","p884256","A2IQ0QCTQ3KWLT","3P888QFVX40Z2B7BK75OWKP045JQOK","3U4J9857OGH80JBHA5WXFT3VBS27BK","model","match","uniform","","","","","","","1769","79095.19999999925","80864.19999999925","[""stimuli/AF10_HE.jpg"",""stimuli/HM07_AO.jpg"",""stimuli/WF06_FO.jpg"",""stimuli/BM03_SC.jpg""]","stimuli/AF10_HE.jpg","stimuli/HM07_AO.jpg","stimuli/WF06_FO.jpg","stimuli/BM03_SC.jpg","pos4","stimuli/BM03_SC.jpg","SC","BM03","3","3","6","8","stimuli/stars_6.png","52","[""HE"",""AO"",""FO"",""SC""]","[""AF10"",""HM07"",""WF06"",""BM03""]","[7,3,5,6]","[6,2,4,8]","","",""
