"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","18","0.0-0.0","p202920","A1LJT9OW9UR4GF","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","3OVR4I9USRPYL2VNRPVG76EK6QD4Q9","emotion","mismatch","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","4487","0.0-1.0","p202920","A1LJT9OW9UR4GF","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","3OVR4I9USRPYL2VNRPVG76EK6QD4Q9","emotion","mismatch","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","11436","0.0-2.0","p202920","A1LJT9OW9UR4GF","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","3OVR4I9USRPYL2VNRPVG76EK6QD4Q9","emotion","mismatch","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","13412","0.0-3.0","p202920","A1LJT9OW9UR4GF","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","3OVR4I9USRPYL2VNRPVG76EK6QD4Q9","emotion","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":1972}]","1972","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","19317","0.0-4.0","p202920","A1LJT9OW9UR4GF","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","3OVR4I9USRPYL2VNRPVG76EK6QD4Q9","emotion","mismatch","uniform","","","","","","","5401","15944","21345","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","29834","0.0-5.0","p202920","A1LJT9OW9UR4GF","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","3OVR4I9USRPYL2VNRPVG76EK6QD4Q9","emotion","mismatch","uniform","","","","","","","10012","21849","31861","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","31583","0.0-6.0","p202920","A1LJT9OW9UR4GF","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","3OVR4I9USRPYL2VNRPVG76EK6QD4Q9","emotion","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":1746}]","1746","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","37515","0.0-7.0","p202920","A1LJT9OW9UR4GF","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","3OVR4I9USRPYL2VNRPVG76EK6QD4Q9","emotion","mismatch","uniform","","","","","","","5427","34117","39544","[""stimuli/BF04_SUR.jpg"",""stimuli/HM09_CC.jpg"",""stimuli/BF06_DO.jpg"",""stimuli/AM03_FO.jpg""]","stimuli/BF04_SUR.jpg","stimuli/HM09_CC.jpg","stimuli/BF06_DO.jpg","stimuli/AM03_FO.jpg","pos1","stimuli/BF04_SUR.jpg","SUR","BF04","0","3","6","8","stimuli/stars_6.png","4","[""SUR"",""CC"",""DO"",""FO""]","[""BF04"",""HM09"",""BF06"",""AM03""]","[6,0,2,7]","[8,2,4,6]","","",""
"show-reward","8","39527","0.0-8.0","p202920","A1LJT9OW9UR4GF","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","3OVR4I9USRPYL2VNRPVG76EK6QD4Q9","emotion","mismatch","uniform","","","","","","","","40051","42056","","","","","","","","","","","","6","","stimuli/stars_6.png","4","","","","","stimuli/BF04_SUR.jpg","",""
"explore-choice","9","43694","0.0-9.0","p202920","A1LJT9OW9UR4GF","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","3OVR4I9USRPYL2VNRPVG76EK6QD4Q9","emotion","mismatch","uniform","","","","","","","3663","42060","45723","[""stimuli/HM09_FO.jpg"",""stimuli/BF04_SUR.jpg"",""stimuli/BF06_CC.jpg"",""stimuli/AM03_DO.jpg""]","stimuli/HM09_FO.jpg","stimuli/BF04_SUR.jpg","stimuli/BF06_CC.jpg","stimuli/AM03_DO.jpg","pos2","stimuli/BF04_SUR.jpg","SUR","BF04","1","3.5","7","8","stimuli/stars_7.png","7.5","[""FO"",""SUR"",""CC"",""DO""]","[""HM09"",""BF04"",""BF06"",""AM03""]","[7,7,4,5]","[6,8,2,4]","","",""
"show-reward","10","45703","0.0-10.0","p202920","A1LJT9OW9UR4GF","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","3OVR4I9USRPYL2VNRPVG76EK6QD4Q9","emotion","mismatch","uniform","","","","","","","","46226","48232","","","","","","","","","","","","7","","stimuli/stars_7.png","7.5","","","","","stimuli/BF04_SUR.jpg","",""
"explore-choice","11","49142","0.0-11.0","p202920","A1LJT9OW9UR4GF","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","3OVR4I9USRPYL2VNRPVG76EK6QD4Q9","emotion","mismatch","uniform","","","","","","","2937","48234","51171","[""stimuli/AM03_CC.jpg"",""stimuli/BF04_DO.jpg"",""stimuli/BF06_SUR.jpg"",""stimuli/HM09_FO.jpg""]","stimuli/AM03_CC.jpg","stimuli/BF04_DO.jpg","stimuli/BF06_SUR.jpg","stimuli/HM09_FO.jpg","pos1","stimuli/AM03_CC.jpg","CC","AM03","0","0.5","1","2","stimuli/stars_1.png","8","[""CC"",""DO"",""SUR"",""FO""]","[""AM03"",""BF04"",""BF06"",""HM09""]","[1,6,10,7]","[2,4,8,6]","","",""
"show-reward","12","51150","0.0-12.0","p202920","A1LJT9OW9UR4GF","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","3OVR4I9USRPYL2VNRPVG76EK6QD4Q9","emotion","mismatch","uniform","","","","","","","","51674","53679","","","","","","","","","","","","1","","stimuli/stars_1.png","8","","","","","stimuli/AM03_CC.jpg","",""
