"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","7","0.0-0.0","p675228","A136K4YZY2OFTV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3WYGZ5XF3YLVCKZ34L719NIHL0NSKB","model","mismatch","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","11220","0.0-1.0","p675228","A136K4YZY2OFTV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3WYGZ5XF3YLVCKZ34L719NIHL0NSKB","model","mismatch","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","13878","0.0-2.0","p675228","A136K4YZY2OFTV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3WYGZ5XF3YLVCKZ34L719NIHL0NSKB","model","mismatch","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","17131","0.0-3.0","p675228","A136K4YZY2OFTV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3WYGZ5XF3YLVCKZ34L719NIHL0NSKB","model","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":3250.199999988079}]","3250.5999999940395","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","19575","0.0-4.0","p675228","A136K4YZY2OFTV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3WYGZ5XF3YLVCKZ34L719NIHL0NSKB","model","mismatch","uniform","","","","","","","1938.4000000059605","18471.90000000596","20410.30000001192","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","21988","0.0-5.0","p675228","A136K4YZY2OFTV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3WYGZ5XF3YLVCKZ34L719NIHL0NSKB","model","mismatch","uniform","","","","","","","1906.5","20916.10000000894","22822.60000000894","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","37511","0.0-6.0","p675228","A136K4YZY2OFTV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3WYGZ5XF3YLVCKZ34L719NIHL0NSKB","model","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":15520.40000000596}]","15520.70000000298","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","39911","0.0-7.0","p675228","A136K4YZY2OFTV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3WYGZ5XF3YLVCKZ34L719NIHL0NSKB","model","mismatch","uniform","","","","","","","1893.1000000089407","38852","40745.10000000894","[""stimuli/WF06_SUR.jpg"",""stimuli/BM07_CC.jpg"",""stimuli/HM02_HO.jpg"",""stimuli/WM07_FO.jpg""]","stimuli/WF06_SUR.jpg","stimuli/BM07_CC.jpg","stimuli/HM02_HO.jpg","stimuli/WM07_FO.jpg","pos1","stimuli/WF06_SUR.jpg","SUR","WF06","0","4.5","9","8","stimuli/stars_9.png","5.5","[""SUR"",""CC"",""HO"",""FO""]","[""WF06"",""BM07"",""HM02"",""WM07""]","[9,5,1,7]","[8,4,2,6]","","",""
"show-reward","8","41921","0.0-8.0","p675228","A136K4YZY2OFTV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3WYGZ5XF3YLVCKZ34L719NIHL0NSKB","model","mismatch","uniform","","","","","","","","41252.90000000596","43259.70000000298","","","","","","","","","","","","9","","stimuli/stars_9.png","5.5","","","","","stimuli/WF06_SUR.jpg","",""
"explore-choice","9","44883","0.0-9.0","p675228","A136K4YZY2OFTV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3WYGZ5XF3YLVCKZ34L719NIHL0NSKB","model","mismatch","uniform","","","","","","","2454.2999999970198","43262.20000000298","45716.5","[""stimuli/WM07_HO.jpg"",""stimuli/HM02_CC.jpg"",""stimuli/BM07_FO.jpg"",""stimuli/WF06_SUR.jpg""]","stimuli/WM07_HO.jpg","stimuli/HM02_CC.jpg","stimuli/BM07_FO.jpg","stimuli/WF06_SUR.jpg","pos4","stimuli/WF06_SUR.jpg","SUR","WF06","3","4","8","8","stimuli/stars_8.png","9.5","[""HO"",""CC"",""FO"",""SUR""]","[""WM07"",""HM02"",""BM07"",""WF06""]","[5,2,5,8]","[6,2,4,8]","","",""
"show-reward","10","46892","0.0-10.0","p675228","A136K4YZY2OFTV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3WYGZ5XF3YLVCKZ34L719NIHL0NSKB","model","mismatch","uniform","","","","","","","","46223.70000000298","48231.10000000894","","","","","","","","","","","","8","","stimuli/stars_8.png","9.5","","","","","stimuli/WF06_SUR.jpg","",""
"explore-choice","11","48941","0.0-11.0","p675228","A136K4YZY2OFTV","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","3WYGZ5XF3YLVCKZ34L719NIHL0NSKB","model","mismatch","uniform","","","","","","","1544.1000000089407","48232.70000000298","49776.80000001192","[""stimuli/WM07_CC.jpg"",""stimuli/HM02_HO.jpg"",""stimuli/WF06_SUR.jpg"",""stimuli/BM07_FO.jpg""]","stimuli/WM07_CC.jpg","stimuli/HM02_HO.jpg","stimuli/WF06_SUR.jpg","stimuli/BM07_FO.jpg","pos3","stimuli/WF06_SUR.jpg","SUR","WF06","2","3.5","7","8","stimuli/stars_7.png","13","[""CC"",""HO"",""SUR"",""FO""]","[""WM07"",""HM02"",""WF06"",""BM07""]","[8,1,7,4]","[6,2,8,4]","","",""
