"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","16","0.0-0.0","p89799","A2MS1GQLGAX9FZ","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","33CUSNVVNPITYZITHY4T2R9PE7R88F","emotion","match","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","28282","0.0-1.0","p89799","A2MS1GQLGAX9FZ","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","33CUSNVVNPITYZITHY4T2R9PE7R88F","emotion","match","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","133983","0.0-2.0","p89799","A2MS1GQLGAX9FZ","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","33CUSNVVNPITYZITHY4T2R9PE7R88F","emotion","match","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","135638","0.0-3.0","p89799","A2MS1GQLGAX9FZ","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","33CUSNVVNPITYZITHY4T2R9PE7R88F","emotion","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":1653.1000000014901}]","1653.6000000014901","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","138626","0.0-4.0","p89799","A2MS1GQLGAX9FZ","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","33CUSNVVNPITYZITHY4T2R9PE7R88F","emotion","match","uniform","","","","","","","2480.300000000745","142585.30000000075","145065.6000000015","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","140430","0.0-5.0","p89799","A2MS1GQLGAX9FZ","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","33CUSNVVNPITYZITHY4T2R9PE7R88F","emotion","match","uniform","","","","","","","1296.7000000029802","145573.3999999985","146870.1000000015","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","147992","0.0-6.0","p89799","A2MS1GQLGAX9FZ","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","33CUSNVVNPITYZITHY4T2R9PE7R88F","emotion","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":7559.800000000745}]","7560.199999999255","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","152182","0.0-7.0","p89799","A2MS1GQLGAX9FZ","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","33CUSNVVNPITYZITHY4T2R9PE7R88F","emotion","match","uniform","","","","","","","3682.5","154939","158621.5","[""stimuli/HM02_HE.jpg"",""stimuli/WF11_DO.jpg"",""stimuli/WF06_AO.jpg"",""stimuli/WF04_SC.jpg""]","stimuli/HM02_HE.jpg","stimuli/WF11_DO.jpg","stimuli/WF06_AO.jpg","stimuli/WF04_SC.jpg","pos1","stimuli/HM02_HE.jpg","HE","HM02","0","4","8","8","stimuli/stars_8.png","5","[""HE"",""DO"",""AO"",""SC""]","[""HM02"",""WF11"",""WF06"",""WF04""]","[8,7,3,2]","[8,6,2,4]","","",""
"show-reward","8","154200","0.0-8.0","p89799","A2MS1GQLGAX9FZ","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","33CUSNVVNPITYZITHY4T2R9PE7R88F","emotion","match","uniform","","","","","","","","159131.1000000015","161146.1000000015","","","","","","","","","","","","8","","stimuli/stars_8.png","5","","","","","stimuli/HM02_HE.jpg","",""
"explore-choice","9","157823","0.0-9.0","p89799","A2MS1GQLGAX9FZ","3RZS0FBRWLGDTA9TUPH81F59AWHPC0","33CUSNVVNPITYZITHY4T2R9PE7R88F","emotion","match","uniform","","","","","","","3110.7000000029802","161147.8999999985","164258.6000000015","[""stimuli/WF11_DO.jpg"",""stimuli/WF06_SC.jpg"",""stimuli/WF04_HE.jpg"",""stimuli/HM02_AO.jpg""]","stimuli/WF11_DO.jpg","stimuli/WF06_SC.jpg","stimuli/WF04_HE.jpg","stimuli/HM02_AO.jpg","pos3","stimuli/WF04_HE.jpg","HE","WF04","2","3","6","8","stimuli/stars_6.png","8","[""DO"",""SC"",""HE"",""AO""]","[""WF11"",""WF06"",""WF04"",""HM02""]","[4,5,6,4]","[6,4,8,2]","","",""
