"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","4","0.0-0.0","p976730","A3CGQOJC28OVGN","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","3LEP4MGT3I6OHSCR1IZJFLDRX35BDH","model","mismatch","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","60739","0.0-1.0","p976730","A3CGQOJC28OVGN","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","3LEP4MGT3I6OHSCR1IZJFLDRX35BDH","model","mismatch","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","66314","0.0-2.0","p976730","A3CGQOJC28OVGN","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","3LEP4MGT3I6OHSCR1IZJFLDRX35BDH","model","mismatch","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","70996","0.0-3.0","p976730","A3CGQOJC28OVGN","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","3LEP4MGT3I6OHSCR1IZJFLDRX35BDH","model","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":4680.900000095367}]","4681.400000095367","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","73658","0.0-4.0","p976730","A3CGQOJC28OVGN","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","3LEP4MGT3I6OHSCR1IZJFLDRX35BDH","model","mismatch","uniform","","","","","","","2159.5999999046326","71258.20000004768","73417.79999995232","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","76065","0.0-5.0","p976730","A3CGQOJC28OVGN","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","3LEP4MGT3I6OHSCR1IZJFLDRX35BDH","model","mismatch","uniform","","","","","","","1903.4000000953674","73919.70000004768","75823.10000014305","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","96969","0.0-6.0","p976730","A3CGQOJC28OVGN","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","3LEP4MGT3I6OHSCR1IZJFLDRX35BDH","model","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":20902}]","20902.299999952316","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","100286","0.0-7.0","p976730","A3CGQOJC28OVGN","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","3LEP4MGT3I6OHSCR1IZJFLDRX35BDH","model","mismatch","uniform","","","","","","","2813.9000000953674","97231.5","100045.40000009537","[""stimuli/WM09_DO.jpg"",""stimuli/HF09_HE.jpg"",""stimuli/AF09_SUR.jpg"",""stimuli/WF06_HO.jpg""]","stimuli/WM09_DO.jpg","stimuli/HF09_HE.jpg","stimuli/AF09_SUR.jpg","stimuli/WF06_HO.jpg","pos4","stimuli/WF06_HO.jpg","HO","WF06","3","3","6","4","stimuli/stars_6.png","4","[""DO"",""HE"",""SUR"",""HO""]","[""WM09"",""HF09"",""AF09"",""WF06""]","[8,8,0,6]","[6,8,2,4]","","",""
"show-reward","8","102297","0.0-8.0","p976730","A3CGQOJC28OVGN","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","3LEP4MGT3I6OHSCR1IZJFLDRX35BDH","model","mismatch","uniform","","","","","","","","100551.29999995232","102557.5","","","","","","","","","","","","6","","stimuli/stars_6.png","4","","","","","stimuli/WF06_HO.jpg","",""
"explore-choice","9","104706","0.0-9.0","p976730","A3CGQOJC28OVGN","3FVBZG9CLKK1M1GPZWGJX51HFG80HB","3LEP4MGT3I6OHSCR1IZJFLDRX35BDH","model","mismatch","uniform","","","","","","","1893.2999999523163","102559.60000014305","104452.90000009537","[""stimuli/WM09_DO.jpg"",""stimuli/AF09_HE.jpg"",""stimuli/WF06_HO.jpg"",""stimuli/HF09_SUR.jpg""]","stimuli/WM09_DO.jpg","stimuli/AF09_HE.jpg","stimuli/WF06_HO.jpg","stimuli/HF09_SUR.jpg","pos2","stimuli/AF09_HE.jpg","HE","AF09","1","1.5","3","2","stimuli/stars_3.png","5.5","[""DO"",""HE"",""HO"",""SUR""]","[""WM09"",""AF09"",""WF06"",""HF09""]","[7,3,2,9]","[6,2,4,8]","","",""
