"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","35","0.0-0.0","p208993","A3CMO4D4U0C7JI","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","39U1BHVTDNXQVM4B8FKS26X1CXFT3Q","model","mismatch","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","15355","0.0-1.0","p208993","A3CMO4D4U0C7JI","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","39U1BHVTDNXQVM4B8FKS26X1CXFT3Q","model","mismatch","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","19506","0.0-2.0","p208993","A3CMO4D4U0C7JI","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","39U1BHVTDNXQVM4B8FKS26X1CXFT3Q","model","mismatch","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","24239","0.0-3.0","p208993","A3CMO4D4U0C7JI","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","39U1BHVTDNXQVM4B8FKS26X1CXFT3Q","model","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":4731.0999999940395}]","4732.0999999940395","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","29698","0.0-4.0","p208993","A3CMO4D4U0C7JI","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","39U1BHVTDNXQVM4B8FKS26X1CXFT3Q","model","mismatch","uniform","","","","","","","4950.300000011921","32104.19999998808","37054.5","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","86698","0.0-5.0","p208993","A3CMO4D4U0C7JI","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","39U1BHVTDNXQVM4B8FKS26X1CXFT3Q","model","mismatch","uniform","","","","","","","56490.70000001788","37563.29999998212","94054","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","95588","0.0-6.0","p208993","A3CMO4D4U0C7JI","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","39U1BHVTDNXQVM4B8FKS26X1CXFT3Q","model","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":8887.90000000596}]","8888.800000011921","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","97899","0.0-7.0","p208993","A3CMO4D4U0C7JI","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","39U1BHVTDNXQVM4B8FKS26X1CXFT3Q","model","mismatch","uniform","","","","","","","1807","103449.29999998212","105256.29999998212","[""stimuli/AF10_DO.jpg"",""stimuli/WM11_HE.jpg"",""stimuli/HM10_CC.jpg"",""stimuli/AF09_FO.jpg""]","stimuli/AF10_DO.jpg","stimuli/WM11_HE.jpg","stimuli/HM10_CC.jpg","stimuli/AF09_FO.jpg","pos1","stimuli/AF10_DO.jpg","DO","AF10","0","0","0","2","stimuli/stars_0.png","1","[""DO"",""HE"",""CC"",""FO""]","[""AF10"",""WM11"",""HM10"",""AF09""]","[0,7,6,2]","[2,6,8,4]","","",""
"show-reward","8","99939","0.0-8.0","p208993","A3CMO4D4U0C7JI","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","39U1BHVTDNXQVM4B8FKS26X1CXFT3Q","model","mismatch","uniform","","","","","","","","105761.29999998212","107778.19999998808","","","","","","","","","","","","0","","stimuli/stars_0.png","1","","","","","stimuli/AF10_DO.jpg","",""
"explore-choice","9","102794","0.0-9.0","p208993","A3CMO4D4U0C7JI","3WRBLBQ2GSENM5LEFQY1C5PG0GV0GC","39U1BHVTDNXQVM4B8FKS26X1CXFT3Q","model","mismatch","uniform","","","","","","","2320.5999999940395","107829.59999999404","110150.19999998808","[""stimuli/AF09_HE.jpg"",""stimuli/HM10_CC.jpg"",""stimuli/AF10_FO.jpg"",""stimuli/WM11_DO.jpg""]","stimuli/AF09_HE.jpg","stimuli/HM10_CC.jpg","stimuli/AF10_FO.jpg","stimuli/WM11_DO.jpg","pos4","stimuli/WM11_DO.jpg","DO","WM11","3","4","8","6","stimuli/stars_8.png","5","[""HE"",""CC"",""FO"",""DO""]","[""AF09"",""HM10"",""AF10"",""WM11""]","[5,10,3,8]","[4,8,2,6]","","",""
