"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","30","0.0-0.0","p508360","ABBP9JASL9AGK","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","32SVAV9L3HFLGQ522FTB7179O8V3AG","emotion","mismatch","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","16043","0.0-1.0","p508360","ABBP9JASL9AGK","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","32SVAV9L3HFLGQ522FTB7179O8V3AG","emotion","mismatch","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","18513","0.0-2.0","p508360","ABBP9JASL9AGK","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","32SVAV9L3HFLGQ522FTB7179O8V3AG","emotion","mismatch","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","29780","0.0-3.0","p508360","ABBP9JASL9AGK","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","32SVAV9L3HFLGQ522FTB7179O8V3AG","emotion","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":11263.899999976158}]","11265.799999982119","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","32447","0.0-4.0","p508360","ABBP9JASL9AGK","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","32SVAV9L3HFLGQ522FTB7179O8V3AG","emotion","mismatch","uniform","","","","","","","2164","31826.30000001192","33990.30000001192","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","34146","0.0-5.0","p508360","ABBP9JASL9AGK","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","32SVAV9L3HFLGQ522FTB7179O8V3AG","emotion","mismatch","uniform","","","","","","","1197.699999988079","34492.30000001192","35690","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","49981","0.0-6.0","p508360","ABBP9JASL9AGK","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","32SVAV9L3HFLGQ522FTB7179O8V3AG","emotion","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":15833.199999988079}]","15834","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","55301","0.0-7.0","p508360","ABBP9JASL9AGK","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","32SVAV9L3HFLGQ522FTB7179O8V3AG","emotion","mismatch","uniform","","","","","","","4814","52027.59999999404","56841.59999999404","[""stimuli/BM16_SUR.jpg"",""stimuli/HM07_AO.jpg"",""stimuli/BF04_CC.jpg"",""stimuli/HF09_DO.jpg""]","stimuli/BM16_SUR.jpg","stimuli/HM07_AO.jpg","stimuli/BF04_CC.jpg","stimuli/HF09_DO.jpg","pos3","stimuli/BF04_CC.jpg","CC","BF04","2","3.5","7","8","stimuli/stars_7.png","4.5","[""SUR"",""AO"",""CC"",""DO""]","[""BM16"",""HM07"",""BF04"",""HF09""]","[1,2,7,5]","[2,4,8,6]","","",""
"show-reward","8","57308","0.0-8.0","p508360","ABBP9JASL9AGK","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","32SVAV9L3HFLGQ522FTB7179O8V3AG","emotion","mismatch","uniform","","","","","","","","57347.5","59350.90000000596","","","","","","","","","","","","7","","stimuli/stars_7.png","4.5","","","","","stimuli/BF04_CC.jpg","",""
"explore-choice","9","59317","0.0-9.0","p508360","ABBP9JASL9AGK","3OWZNK3RYMVDNXPNEIRWZ8JM6MU2UY","32SVAV9L3HFLGQ522FTB7179O8V3AG","emotion","mismatch","uniform","","","","","","","1506","59352.80000001192","60858.80000001192","[""stimuli/HM07_SUR.jpg"",""stimuli/BF04_CC.jpg"",""stimuli/HF09_AO.jpg"",""stimuli/BM16_DO.jpg""]","stimuli/HM07_SUR.jpg","stimuli/BF04_CC.jpg","stimuli/HF09_AO.jpg","stimuli/BM16_DO.jpg","pos2","stimuli/BF04_CC.jpg","CC","BF04","1","3","6","8","stimuli/stars_6.png","7.5","[""SUR"",""CC"",""AO"",""DO""]","[""HM07"",""BF04"",""HF09"",""BM16""]","[2,6,6,5]","[2,8,4,6]","","",""
