"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","31","0.0-0.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","34872","0.0-1.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","46500","0.0-2.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","59413","0.0-3.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":12909.400000095367}]","12910.200000047684","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","62424","0.0-4.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","2507.7000000476837","62151.90000009537","64659.60000014305","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","64858","0.0-5.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","1931.0999999046326","65163.300000190735","67094.40000009537","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","125187","0.0-6.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":60327.699999809265}]","60328","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","130460","0.0-7.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","4769.200000047684","127926.90000009537","132696.10000014305","[""stimuli/AM06_HE.jpg"",""stimuli/WF14_SUR.jpg"",""stimuli/BM16_AO.jpg"",""stimuli/AM05_SC.jpg""]","stimuli/AM06_HE.jpg","stimuli/WF14_SUR.jpg","stimuli/BM16_AO.jpg","stimuli/AM05_SC.jpg","pos3","stimuli/BM16_AO.jpg","AO","BM16","2","0","0","2","stimuli/stars_0.png","1","[""HE"",""SUR"",""AO"",""SC""]","[""AM06"",""WF14"",""BM16"",""AM05""]","[3,6,0,4]","[4,8,2,6]","","",""
"show-reward","8","132468","0.0-8.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","","133202.30000019073","135205.10000014305","","","","","","","","","","","","0","","stimuli/stars_0.png","1","","","","","stimuli/BM16_AO.jpg","",""
"explore-choice","9","134215","0.0-9.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","1242.2000000476837","135209.70000004768","136451.90000009537","[""stimuli/AM05_SC.jpg"",""stimuli/WF14_HE.jpg"",""stimuli/BM16_SUR.jpg"",""stimuli/AM06_AO.jpg""]","stimuli/AM05_SC.jpg","stimuli/WF14_HE.jpg","stimuli/BM16_SUR.jpg","stimuli/AM06_AO.jpg","pos2","stimuli/WF14_HE.jpg","HE","WF14","1","4","8","8","stimuli/stars_8.png","5","[""SC"",""HE"",""SUR"",""AO""]","[""AM05"",""WF14"",""BM16"",""AM06""]","[4,8,3,4]","[6,8,2,4]","","",""
"show-reward","10","136220","0.0-10.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","","136954","138957.10000014305","","","","","","","","","","","","8","","stimuli/stars_8.png","5","","","","","stimuli/WF14_HE.jpg","",""
"explore-choice","11","138024","0.0-11.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","1300.8999998569489","138959.10000014305","140260","[""stimuli/AM06_AO.jpg"",""stimuli/AM05_HE.jpg"",""stimuli/BM16_SUR.jpg"",""stimuli/WF14_SC.jpg""]","stimuli/AM06_AO.jpg","stimuli/AM05_HE.jpg","stimuli/BM16_SUR.jpg","stimuli/WF14_SC.jpg","pos2","stimuli/AM05_HE.jpg","HE","AM05","1","3","6","6","stimuli/stars_6.png","8","[""AO"",""HE"",""SUR"",""SC""]","[""AM06"",""AM05"",""BM16"",""WF14""]","[3,6,4,6]","[4,6,2,8]","","",""
"show-reward","12","140030","0.0-12.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","","140763.30000019073","142767.70000004768","","","","","","","","","","","","6","","stimuli/stars_6.png","8","","","","","stimuli/AM05_HE.jpg","",""
"explore-choice","13","142441","0.0-13.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","1907.2999999523163","142769.60000014305","144676.90000009537","[""stimuli/WF14_HE.jpg"",""stimuli/AM05_AO.jpg"",""stimuli/AM06_SUR.jpg"",""stimuli/BM16_SC.jpg""]","stimuli/WF14_HE.jpg","stimuli/AM05_AO.jpg","stimuli/AM06_SUR.jpg","stimuli/BM16_SC.jpg","pos1","stimuli/WF14_HE.jpg","HE","WF14","0","3","6","8","stimuli/stars_6.png","11","[""HE"",""AO"",""SUR"",""SC""]","[""WF14"",""AM05"",""AM06"",""BM16""]","[6,4,3,4]","[8,6,4,2]","","",""
"show-reward","14","144447","0.0-14.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","","145180.30000019073","147184.10000014305","","","","","","","","","","","","6","","stimuli/stars_6.png","11","","","","","stimuli/WF14_HE.jpg","",""
"explore-choice","15","146577","0.0-15.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","1627.2000000476837","147186.40000009537","148813.60000014305","[""stimuli/AM06_SUR.jpg"",""stimuli/AM05_SC.jpg"",""stimuli/WF14_HE.jpg"",""stimuli/BM16_AO.jpg""]","stimuli/AM06_SUR.jpg","stimuli/AM05_SC.jpg","stimuli/WF14_HE.jpg","stimuli/BM16_AO.jpg","pos3","stimuli/WF14_HE.jpg","HE","WF14","2","3","6","8","stimuli/stars_6.png","14","[""SUR"",""SC"",""HE"",""AO""]","[""AM06"",""AM05"",""WF14"",""BM16""]","[4,6,6,2]","[4,6,8,2]","","",""
"show-reward","16","148583","0.0-16.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","","149316.10000014305","151319.80000019073","","","","","","","","","","","","6","","stimuli/stars_6.png","14","","","","","stimuli/WF14_HE.jpg","",""
"explore-choice","17","152648","0.0-17.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","3564.100000143051","151320.70000004768","154884.80000019073","[""stimuli/AM06_SC.jpg"",""stimuli/BM16_AO.jpg"",""stimuli/WF14_HE.jpg"",""stimuli/AM05_SUR.jpg""]","stimuli/AM06_SC.jpg","stimuli/BM16_AO.jpg","stimuli/WF14_HE.jpg","stimuli/AM05_SUR.jpg","pos1","stimuli/AM06_SC.jpg","SC","AM06","0","1","2","4","stimuli/stars_2.png","15","[""SC"",""AO"",""HE"",""SUR""]","[""AM06"",""BM16"",""WF14"",""AM05""]","[2,2,10,5]","[4,2,8,6]","","",""
"show-reward","18","154652","0.0-18.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","","155386.60000014305","157388.70000004768","","","","","","","","","","","","2","","stimuli/stars_2.png","15","","","","","stimuli/AM06_SC.jpg","",""
"explore-choice","19","155874","0.0-19.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","719.4000000953674","157390.90000009537","158110.30000019073","[""stimuli/BM16_SC.jpg"",""stimuli/AM06_SUR.jpg"",""stimuli/WF14_AO.jpg"",""stimuli/AM05_HE.jpg""]","stimuli/BM16_SC.jpg","stimuli/AM06_SUR.jpg","stimuli/WF14_AO.jpg","stimuli/AM05_HE.jpg","pos3","stimuli/WF14_AO.jpg","AO","WF14","2","4","8","8","stimuli/stars_8.png","19","[""SC"",""SUR"",""AO"",""HE""]","[""BM16"",""AM06"",""WF14"",""AM05""]","[0,4,8,7]","[2,4,8,6]","","",""
"show-reward","20","157879","0.0-20.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","","158613.20000004768","160616.60000014305","","","","","","","","","","","","8","","stimuli/stars_8.png","19","","","","","stimuli/WF14_AO.jpg","",""
"explore-choice","21","160293","0.0-21.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","1911","160618.40000009537","162529.40000009537","[""stimuli/AM05_HE.jpg"",""stimuli/BM16_AO.jpg"",""stimuli/AM06_SUR.jpg"",""stimuli/WF14_SC.jpg""]","stimuli/AM05_HE.jpg","stimuli/BM16_AO.jpg","stimuli/AM06_SUR.jpg","stimuli/WF14_SC.jpg","pos1","stimuli/AM05_HE.jpg","HE","AM05","0","4","8","6","stimuli/stars_8.png","23","[""HE"",""AO"",""SUR"",""SC""]","[""AM05"",""BM16"",""AM06"",""WF14""]","[8,2,4,8]","[6,2,4,8]","","",""
"show-reward","22","162298","0.0-22.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","","163032","165035.60000014305","","","","","","","","","","","","8","","stimuli/stars_8.png","23","","","","","stimuli/AM05_HE.jpg","",""
"explore-choice","23","165676","0.0-23.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","2874.2999999523163","165037.40000009537","167911.70000004768","[""stimuli/BM16_HE.jpg"",""stimuli/AM05_AO.jpg"",""stimuli/AM06_SUR.jpg"",""stimuli/WF14_SC.jpg""]","stimuli/BM16_HE.jpg","stimuli/AM05_AO.jpg","stimuli/AM06_SUR.jpg","stimuli/WF14_SC.jpg","pos1","stimuli/BM16_HE.jpg","HE","BM16","0","2","4","2","stimuli/stars_4.png","25","[""HE"",""AO"",""SUR"",""SC""]","[""BM16"",""AM05"",""AM06"",""WF14""]","[4,6,3,7]","[2,6,4,8]","","",""
"show-reward","24","167681","0.0-24.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","","168415.10000014305","170418.20000004768","","","","","","","","","","","","4","","stimuli/stars_4.png","25","","","","","stimuli/BM16_HE.jpg","",""
"explore-choice","25","169147","0.0-25.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","962.8999998569489","170420.10000014305","171383","[""stimuli/WF14_AO.jpg"",""stimuli/AM06_SUR.jpg"",""stimuli/BM16_HE.jpg"",""stimuli/AM05_SC.jpg""]","stimuli/WF14_AO.jpg","stimuli/AM06_SUR.jpg","stimuli/BM16_HE.jpg","stimuli/AM05_SC.jpg","pos4","stimuli/AM05_SC.jpg","SC","AM05","3","4","8","6","stimuli/stars_8.png","29","[""AO"",""SUR"",""HE"",""SC""]","[""WF14"",""AM06"",""BM16"",""AM05""]","[7,3,0,8]","[8,4,2,6]","","",""
"show-reward","26","171153","0.0-26.0","p530881","A1WJGO38GJ99ZS","3087LXLJ6NMH85PJ46SJUKP4Z1V0FD","3ERMJ6L4D0Y4JAFE1UM6T9EPNR67M9","model","match","uniform","","","","","","","","171886.30000019073","173890.5","","","","","","","","","","","","8","","stimuli/stars_8.png","29","","","","","stimuli/AM05_SC.jpg","",""
