"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial"
"pavlovia","0","10","0.0-0.0","p528022","","","","emotion","match","uniform","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","3845","0.0-1.0","p528022","","","","emotion","match","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","6569","0.0-2.0","p528022","","","","emotion","match","uniform","true","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","7673","0.0-3.0","p528022","","","","emotion","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":1103}]","1103","","","","","","","","","","","","","","","","",""
"explore-choice","4","9908","0.0-4.0","p528022","","","","emotion","match","uniform","","","","","","","1731","8846","10577","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos1","stimuli/sheep.jpg","","","0","8","8","8","stimuli/stars_2.png","9"
"explore-choice","5","12967","0.0-5.0","p528022","","","","emotion","match","uniform","","","","","","","2552","11081","13633","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9"
"instructions","6","14573","0.0-6.0","p528022","","","","emotion","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":1605}]","1605","","","","","","","","","","","","","","","","",""
