"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video"
"pavlovia","0","4","0.0-0.0","p464778","","","","model","match","uniform","","","","",""
"preload","1","8422","0.0-1.0","p464778","","","","model","match","uniform","true","false","[]","[]","[]"
