"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus"
"pavlovia","0","22","0.0-0.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2569","0.0-1.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","9468","0.0-2.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","44920","0.0-3.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":35451.20000000298}]","35452.70000000298","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","48621","0.0-4.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","3197.10000000149","46453.69999999553","49650.79999999702","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","",""
"explore-choice","5","50351","0.0-5.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","1221.3000000044703","50155.09999999404","51376.39999999851","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","",""
"instructions","6","59102","0.0-6.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","[{""page_index"":0,""viewing_time"":8749.5}]","8749.79999999702","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","64744","0.0-7.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","5138.20000000298","60636.59999999404","65774.79999999702","[""stimuli/HF09_CC.jpg"",""stimuli/HM07_SC.jpg"",""stimuli/AM06_SUR.jpg"",""stimuli/BM16_HO.jpg""]","stimuli/HF09_CC.jpg","stimuli/HM07_SC.jpg","stimuli/AM06_SUR.jpg","stimuli/BM16_HO.jpg","pos4","stimuli/BM16_HO.jpg","HO","BM16","3","1.5","3","2","stimuli/stars_3.png","2.5","[""CC"",""SC"",""SUR"",""HO""]","[""HF09"",""HM07"",""AM06"",""BM16""]","[4,7,4,3]","[4,8,6,2]",""
"show-reward","8","66756","0.0-8.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","66280.39999999851","68288.39999999851","","","","","","","","","","","","3","","stimuli/stars_3.png","2.5","","","","","stimuli/BM16_HO.jpg"
"explore-choice","9","70258","0.0-9.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","2996","68290.59999999404","71286.59999999404","[""stimuli/AM06_HO.jpg"",""stimuli/HM07_SC.jpg"",""stimuli/BM16_SUR.jpg"",""stimuli/HF09_CC.jpg""]","stimuli/AM06_HO.jpg","stimuli/HM07_SC.jpg","stimuli/BM16_SUR.jpg","stimuli/HF09_CC.jpg","pos1","stimuli/AM06_HO.jpg","HO","AM06","0","2","4","2","stimuli/stars_4.png","4.5","[""HO"",""SC"",""SUR"",""CC""]","[""AM06"",""HM07"",""BM16"",""HF09""]","[4,10,7,2]","[2,8,6,4]",""
"show-reward","10","72265","0.0-10.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","71793.29999999702","73797.69999999553","","","","","","","","","","","","4","","stimuli/stars_4.png","4.5","","","","","stimuli/AM06_HO.jpg"
"explore-choice","11","75965","0.0-11.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","3197.5","73799.39999999851","76996.89999999851","[""stimuli/HM07_SUR.jpg"",""stimuli/BM16_SC.jpg"",""stimuli/AM06_HO.jpg"",""stimuli/HF09_CC.jpg""]","stimuli/HM07_SUR.jpg","stimuli/BM16_SC.jpg","stimuli/AM06_HO.jpg","stimuli/HF09_CC.jpg","pos3","stimuli/AM06_HO.jpg","HO","AM06","2","0","0","2","stimuli/stars_0.png","4.5","[""SUR"",""SC"",""HO"",""CC""]","[""HM07"",""BM16"",""AM06"",""HF09""]","[6,6,0,2]","[6,8,2,4]",""
"show-reward","12","77970","0.0-12.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","77499.79999999702","79503","","","","","","","","","","","","0","","stimuli/stars_0.png","4.5","","","","","stimuli/AM06_HO.jpg"
"explore-choice","13","79274","0.0-13.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","802.3000000044703","79504.69999999553","80307","[""stimuli/HF09_SC.jpg"",""stimuli/HM07_HO.jpg"",""stimuli/BM16_CC.jpg"",""stimuli/AM06_SUR.jpg""]","stimuli/HF09_SC.jpg","stimuli/HM07_HO.jpg","stimuli/BM16_CC.jpg","stimuli/AM06_SUR.jpg","pos2","stimuli/HM07_HO.jpg","HO","HM07","1","1","2","2","stimuli/stars_2.png","5.5","[""SC"",""HO"",""CC"",""SUR""]","[""HF09"",""HM07"",""BM16"",""AM06""]","[7,2,2,5]","[8,2,4,6]",""
"show-reward","14","81280","0.0-14.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","80808.89999999851","82813.5","","","","","","","","","","","","2","","stimuli/stars_2.png","5.5","","","","","stimuli/HM07_HO.jpg"
"explore-choice","15","102877","0.0-15.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","21092.29999999702","82815.39999999851","103907.69999999553","[""stimuli/AM06_SC.jpg"",""stimuli/BM16_HO.jpg"",""stimuli/HM07_SUR.jpg"",""stimuli/HF09_CC.jpg""]","stimuli/AM06_SC.jpg","stimuli/BM16_HO.jpg","stimuli/HM07_SUR.jpg","stimuli/HF09_CC.jpg","pos4","stimuli/HF09_CC.jpg","CC","HF09","3","3","6","4","stimuli/stars_6.png","8.5","[""SC"",""HO"",""SUR"",""CC""]","[""AM06"",""BM16"",""HM07"",""HF09""]","[8,0,4,6]","[8,2,6,4]",""
"show-reward","16","104882","0.0-16.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","104413.5","106416.69999999553","","","","","","","","","","","","6","","stimuli/stars_6.png","8.5","","","","","stimuli/HF09_CC.jpg"
"explore-choice","17","108894","0.0-17.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","3508.89999999851","106418.29999999702","109927.19999999553","[""stimuli/HF09_HO.jpg"",""stimuli/AM06_SC.jpg"",""stimuli/HM07_CC.jpg"",""stimuli/BM16_SUR.jpg""]","stimuli/HF09_HO.jpg","stimuli/AM06_SC.jpg","stimuli/HM07_CC.jpg","stimuli/BM16_SUR.jpg","pos1","stimuli/HF09_HO.jpg","HO","HF09","0","0.5","1","2","stimuli/stars_1.png","9","[""HO"",""SC"",""CC"",""SUR""]","[""HF09"",""AM06"",""HM07"",""BM16""]","[1,6,5,6]","[2,8,4,6]",""
"show-reward","18","110901","0.0-18.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","110430.59999999404","112436.09999999404","","","","","","","","","","","","1","","stimuli/stars_1.png","9","","","","","stimuli/HF09_HO.jpg"
"explore-choice","19","115694","0.0-19.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","4288.5","112437.89999999851","116726.39999999851","[""stimuli/HF09_SUR.jpg"",""stimuli/HM07_CC.jpg"",""stimuli/AM06_HO.jpg"",""stimuli/BM16_SC.jpg""]","stimuli/HF09_SUR.jpg","stimuli/HM07_CC.jpg","stimuli/AM06_HO.jpg","stimuli/BM16_SC.jpg","pos4","stimuli/BM16_SC.jpg","SC","BM16","3","5","10","8","stimuli/stars_10.png","14","[""SUR"",""CC"",""HO"",""SC""]","[""HF09"",""HM07"",""AM06"",""BM16""]","[7,2,2,10]","[6,4,2,8]",""
"show-reward","20","117701","0.0-20.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","117231.59999999404","119237","","","","","","","","","","","","10","","stimuli/stars_10.png","14","","","","","stimuli/BM16_SC.jpg"
"explore-choice","21","120994","0.0-21.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","2787.5","119238.5","122026","[""stimuli/HM07_HO.jpg"",""stimuli/BM16_SC.jpg"",""stimuli/AM06_SUR.jpg"",""stimuli/HF09_CC.jpg""]","stimuli/HM07_HO.jpg","stimuli/BM16_SC.jpg","stimuli/AM06_SUR.jpg","stimuli/HF09_CC.jpg","pos2","stimuli/BM16_SC.jpg","SC","BM16","1","5","10","8","stimuli/stars_10.png","19","[""HO"",""SC"",""SUR"",""CC""]","[""HM07"",""BM16"",""AM06"",""HF09""]","[3,10,8,6]","[2,8,6,4]",""
"show-reward","22","123001","0.0-22.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","122531.89999999851","124536.59999999404","","","","","","","","","","","","10","","stimuli/stars_10.png","19","","","","","stimuli/BM16_SC.jpg"
"explore-choice","23","125640","0.0-23.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","2135.89999999851","124538","126673.89999999851","[""stimuli/BM16_CC.jpg"",""stimuli/HM07_SC.jpg"",""stimuli/AM06_SUR.jpg"",""stimuli/HF09_HO.jpg""]","stimuli/BM16_CC.jpg","stimuli/HM07_SC.jpg","stimuli/AM06_SUR.jpg","stimuli/HF09_HO.jpg","pos2","stimuli/HM07_SC.jpg","SC","HM07","1","4","8","8","stimuli/stars_8.png","23","[""CC"",""SC"",""SUR"",""HO""]","[""BM16"",""HM07"",""AM06"",""HF09""]","[3,8,8,2]","[4,8,6,2]",""
"show-reward","24","127651","0.0-24.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","127177.79999999702","129187.59999999404","","","","","","","","","","","","8","","stimuli/stars_8.png","23","","","","","stimuli/HM07_SC.jpg"
"explore-choice","25","130360","0.0-25.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","2202.5","129189.29999999702","131391.79999999702","[""stimuli/BM16_HO.jpg"",""stimuli/HM07_CC.jpg"",""stimuli/AM06_SC.jpg"",""stimuli/HF09_SUR.jpg""]","stimuli/BM16_HO.jpg","stimuli/HM07_CC.jpg","stimuli/AM06_SC.jpg","stimuli/HF09_SUR.jpg","pos3","stimuli/AM06_SC.jpg","SC","AM06","2","3.5","7","8","stimuli/stars_7.png","26.5","[""HO"",""CC"",""SC"",""SUR""]","[""BM16"",""HM07"",""AM06"",""HF09""]","[0,2,7,5]","[2,4,8,6]",""
"show-reward","26","132371","0.0-26.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","131897.8999999985","133907.8999999985","","","","","","","","","","","","7","","stimuli/stars_7.png","26.5","","","","","stimuli/AM06_SC.jpg"
"explore-choice","27","134850","0.0-27.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","1971.0999999940395","133909.5","135880.59999999404","[""stimuli/AM06_SUR.jpg"",""stimuli/BM16_SC.jpg"",""stimuli/HF09_HO.jpg"",""stimuli/HM07_CC.jpg""]","stimuli/AM06_SUR.jpg","stimuli/BM16_SC.jpg","stimuli/HF09_HO.jpg","stimuli/HM07_CC.jpg","pos2","stimuli/BM16_SC.jpg","SC","BM16","1","4.5","9","8","stimuli/stars_9.png","31","[""SUR"",""SC"",""HO"",""CC""]","[""AM06"",""BM16"",""HF09"",""HM07""]","[8,9,3,6]","[6,8,2,4]",""
"show-reward","28","136854","0.0-28.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","136387.8999999985","138391.09999999404","","","","","","","","","","","","9","","stimuli/stars_9.png","31","","","","","stimuli/BM16_SC.jpg"
"explore-choice","29","139761","0.0-29.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","2402.39999999851","138392.5","140794.8999999985","[""stimuli/HF09_SUR.jpg"",""stimuli/HM07_HO.jpg"",""stimuli/AM06_SC.jpg"",""stimuli/BM16_CC.jpg""]","stimuli/HF09_SUR.jpg","stimuli/HM07_HO.jpg","stimuli/AM06_SC.jpg","stimuli/BM16_CC.jpg","pos3","stimuli/AM06_SC.jpg","SC","AM06","2","3.5","7","8","stimuli/stars_7.png","34.5","[""SUR"",""HO"",""SC"",""CC""]","[""HF09"",""HM07"",""AM06"",""BM16""]","[4,1,7,4]","[6,2,8,4]",""
