"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus","response","question_order"
"pavlovia","0","87","0.0-0.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","6863","0.0-1.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","9091","0.0-2.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","12610","0.0-3.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":3517.5999999940395}]","3518.2000000178814","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","4","14807","0.0-4.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","1695.699999988079","14211.5","15907.199999988079","[""stimuli/sheep.jpg"",""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg""]","stimuli/sheep.jpg","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","pos4","stimuli/horse.jpg","","","3","64","64","64","stimuli/stars_8.png","65","","","","","","",""
"explore-choice","5","16394","0.0-5.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","1085.9000000059605","16409","17494.90000000596","[""stimuli/hammer.jpg"",""stimuli/basketball.jpg"",""stimuli/horse.jpg"",""stimuli/sheep.jpg""]","stimuli/hammer.jpg","stimuli/basketball.jpg","stimuli/horse.jpg","stimuli/sheep.jpg","pos1","stimuli/hammer.jpg","","","0","8","8","8","stimuli/stars_2.png","9","","","","","","",""
"instructions","6","34411","0.0-6.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","[{""page_index"":0,""viewing_time"":18016.69999998808}]","18017.09999999404","","","","","","","","","","","","","","","","","","","","","","","",""
"explore-choice","7","37500","0.0-7.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","2586.300000011921","36014.5","38600.80000001192","[""stimuli/HM09_SC.jpg"",""stimuli/WF06_DO.jpg"",""stimuli/WM09_FO.jpg"",""stimuli/WF14_HO.jpg""]","stimuli/HM09_SC.jpg","stimuli/WF06_DO.jpg","stimuli/WM09_FO.jpg","stimuli/WF14_HO.jpg","pos4","stimuli/WF14_HO.jpg","HO","WF14","3","3.5","7","6","stimuli/stars_7.png","4.5","[""SC"",""DO"",""FO"",""HO""]","[""HM09"",""WF06"",""WM09"",""WF14""]","[7,5,2,7]","[8,4,2,6]","","",""
"show-reward","8","39504","0.0-8.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","","39103.40000000596","41106","","","","","","","","","","","","7","","stimuli/stars_7.png","4.5","","","","","stimuli/WF14_HO.jpg","",""
"explore-choice","9","41777","0.0-9.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","1771.5","41107.09999999404","42878.59999999404","[""stimuli/WF06_DO.jpg"",""stimuli/HM09_FO.jpg"",""stimuli/WF14_SC.jpg"",""stimuli/WM09_HO.jpg""]","stimuli/WF06_DO.jpg","stimuli/HM09_FO.jpg","stimuli/WF14_SC.jpg","stimuli/WM09_HO.jpg","pos3","stimuli/WF14_SC.jpg","SC","WF14","2","3.5","7","6","stimuli/stars_7.png","8","[""DO"",""FO"",""SC"",""HO""]","[""WF06"",""HM09"",""WF14"",""WM09""]","[4,10,7,2]","[4,8,6,2]","","",""
"show-reward","10","43781","0.0-10.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","","43379.90000000596","45382.5","","","","","","","","","","","","7","","stimuli/stars_7.png","8","","","","","stimuli/WF14_SC.jpg","",""
"explore-choice","11","45256","0.0-11.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","969.2999999821186","45383.40000000596","46352.69999998808","[""stimuli/WF06_SC.jpg"",""stimuli/WF14_FO.jpg"",""stimuli/WM09_HO.jpg"",""stimuli/HM09_DO.jpg""]","stimuli/WF06_SC.jpg","stimuli/WF14_FO.jpg","stimuli/WM09_HO.jpg","stimuli/HM09_DO.jpg","pos4","stimuli/HM09_DO.jpg","DO","HM09","3","3","6","8","stimuli/stars_6.png","11","[""SC"",""FO"",""HO"",""DO""]","[""WF06"",""WF14"",""WM09"",""HM09""]","[5,5,4,6]","[4,6,2,8]","","",""
"show-reward","12","47258","0.0-12.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","","46858.40000000596","48860.40000000596","","","","","","","","","","","","6","","stimuli/stars_6.png","11","","","","","stimuli/HM09_DO.jpg","",""
"explore-choice","13","50313","0.0-13.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","2553.5999999940395","48861.30000001192","51414.90000000596","[""stimuli/HM09_DO.jpg"",""stimuli/WM09_FO.jpg"",""stimuli/WF14_HO.jpg"",""stimuli/WF06_SC.jpg""]","stimuli/HM09_DO.jpg","stimuli/WM09_FO.jpg","stimuli/WF14_HO.jpg","stimuli/WF06_SC.jpg","pos2","stimuli/WM09_FO.jpg","FO","WM09","1","2","4","2","stimuli/stars_4.png","13","[""DO"",""FO"",""HO"",""SC""]","[""HM09"",""WM09"",""WF14"",""WF06""]","[6,4,7,2]","[8,2,6,4]","","",""
"show-reward","14","52319","0.0-14.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","","51916.09999999404","53920.59999999404","","","","","","","","","","","","4","","stimuli/stars_4.png","13","","","","","stimuli/WM09_FO.jpg","",""
"explore-choice","15","53722","0.0-15.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","899.1999999880791","53921.80000001192","54821","[""stimuli/WF14_DO.jpg"",""stimuli/WM09_HO.jpg"",""stimuli/WF06_SC.jpg"",""stimuli/HM09_FO.jpg""]","stimuli/WF14_DO.jpg","stimuli/WM09_HO.jpg","stimuli/WF06_SC.jpg","stimuli/HM09_FO.jpg","pos4","stimuli/HM09_FO.jpg","FO","HM09","3","3","6","8","stimuli/stars_6.png","16","[""DO"",""HO"",""SC"",""FO""]","[""WF14"",""WM09"",""WF06"",""HM09""]","[4,2,3,6]","[6,2,4,8]","","",""
"show-reward","16","55727","0.0-16.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","","55325.30000001192","57329","","","","","","","","","","","","6","","stimuli/stars_6.png","16","","","","","stimuli/HM09_FO.jpg","",""
"explore-choice","17","58342","0.0-17.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","2114.5999999940395","57329.80000001192","59444.40000000596","[""stimuli/HM09_SC.jpg"",""stimuli/WF06_FO.jpg"",""stimuli/WF14_HO.jpg"",""stimuli/WM09_DO.jpg""]","stimuli/HM09_SC.jpg","stimuli/WF06_FO.jpg","stimuli/WF14_HO.jpg","stimuli/WM09_DO.jpg","pos3","stimuli/WF14_HO.jpg","HO","WF14","2","3.5","7","6","stimuli/stars_7.png","19.5","[""SC"",""FO"",""HO"",""DO""]","[""HM09"",""WF06"",""WF14"",""WM09""]","[7,4,7,0]","[8,4,6,2]","","",""
"show-reward","18","60347","0.0-18.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","","59945.59999999404","61949.19999998808","","","","","","","","","","","","7","","stimuli/stars_7.png","19.5","","","","","stimuli/WF14_HO.jpg","",""
"explore-choice","19","62022","0.0-19.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","1170.699999988079","61950.30000001192","63121","[""stimuli/HM09_FO.jpg"",""stimuli/WF06_SC.jpg"",""stimuli/WF14_HO.jpg"",""stimuli/WM09_DO.jpg""]","stimuli/HM09_FO.jpg","stimuli/WF06_SC.jpg","stimuli/WF14_HO.jpg","stimuli/WM09_DO.jpg","pos3","stimuli/WF14_HO.jpg","HO","WF14","2","3.5","7","6","stimuli/stars_7.png","23","[""FO"",""SC"",""HO"",""DO""]","[""HM09"",""WF06"",""WF14"",""WM09""]","[6,5,7,3]","[8,4,6,2]","","",""
"show-reward","20","64025","0.0-20.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","","63625.09999999404","65627.19999998808","","","","","","","","","","","","7","","stimuli/stars_7.png","23","","","","","stimuli/WF14_HO.jpg","",""
"explore-choice","21","65882","0.0-21.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","1355.0999999940395","65628","66983.09999999404","[""stimuli/WF14_FO.jpg"",""stimuli/WM09_DO.jpg"",""stimuli/WF06_HO.jpg"",""stimuli/HM09_SC.jpg""]","stimuli/WF14_FO.jpg","stimuli/WM09_DO.jpg","stimuli/WF06_HO.jpg","stimuli/HM09_SC.jpg","pos3","stimuli/WF06_HO.jpg","HO","WF06","2","3","6","4","stimuli/stars_6.png","26","[""FO"",""DO"",""HO"",""SC""]","[""WF14"",""WM09"",""WF06"",""HM09""]","[6,0,6,7]","[6,2,4,8]","","",""
"show-reward","22","67887","0.0-22.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","","67485.5","69490","","","","","","","","","","","","6","","stimuli/stars_6.png","26","","","","","stimuli/WF06_HO.jpg","",""
"explore-choice","23","70741","0.0-23.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","2347.800000011921","69491","71838.80000001192","[""stimuli/WF06_FO.jpg"",""stimuli/HM09_HO.jpg"",""stimuli/WF14_DO.jpg"",""stimuli/WM09_SC.jpg""]","stimuli/WF06_FO.jpg","stimuli/HM09_HO.jpg","stimuli/WF14_DO.jpg","stimuli/WM09_SC.jpg","pos2","stimuli/HM09_HO.jpg","HO","HM09","1","5","10","8","stimuli/stars_10.png","31","[""FO"",""HO"",""DO"",""SC""]","[""WF06"",""HM09"",""WF14"",""WM09""]","[3,10,6,4]","[4,8,6,2]","","",""
"show-reward","24","72747","0.0-24.0","p238655","pilot_test","emogo","test_session","model","mismatch","uniform","","","","","","","","72344.5","74350","","","","","","","","","","","","10","","stimuli/stars_10.png","31","","","","","stimuli/HM09_HO.jpg","",""
